# Every wire in the study, scored by NEC-2 (tools/nec_search.py).
# Workable = NEC gain >= 1.02 dBi (study -5 dBi + 6.02 dB ground reflection). Bands modelled at the wire's own resonances; see data/nec-resonances.json.
# ana_* = the analytic scores the study used before, for comparison.
nec_rank3,key,family,model,feed_ft,nec3_cells,nec3_regions,nec3_dBi,nec3_worst,nec_rank2,nec2_cells,nec2_dBi,ana_rank3,ana3_cells,ana3_dBi,ana_rank2,ana2_cells,max_anchor_ft,parcel,aliases,label
14,T30,sloper,"slant (§9, LOW)",24,38,21,1.08,-9.3,7,29,1.20,34,49,-0.63,26,33,89,"tree top 39 ft past the south line","","Tall sloper, 30 deg slope, top 89 ft, bearing 176T"
15,N-SL3,sloper,"slant (§9, LOW)",10,38,18,1.71,-13.1,28,22,1.19,93,27,-2.65,96,12,47,"on the lot","","Sloper up from the transformer (10 ft) to a 47 ft support 125 ft out at 270°M · NEC search"
16,N-F10A,bent flat-top,"bent wire (§3/§4)",10,37,22,1.25,-11.2,15,25,1.16,85,35,-1.10,89,17,50,"on the lot","N2-F10A","F10-A, leg 2 re-aimed on NEC to 60°M"
17,R-SL2,sloper,"slant (§9, LOW)",25,37,20,0.71,-7.3,13,27,0.88,26,50,-0.89,19,35,97,"tree top 78 ft past the south line","","Sloper up from the roof (25 ft) to a 97 ft support 108 ft out at 163°M"
18,NR-V2,inverted-V,"bent wire (§3/§4)",25,36,23,0.61,-12.3,23,22,0.40,69,41,-1.07,79,21,50,"on the lot","","Inverted-V from the roof, apex 50 ft 59 ft out at 85°M, second leg to 67°M · NEC search"
19,NR-L2,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,36,21,1.20,-15.8,24,22,1.13,12,54,-1.00,15,37,69,"on the lot","","Inverted-L from the roof, rising to 69 ft 85 ft out at 55°M, then 34 ft hanging down · NEC search"
20,NR-V3,inverted-V,"bent wire (§3/§4)",25,36,21,0.94,-11.1,26,22,0.19,59,44,-1.04,68,25,50,"on the lot","","Inverted-V from the roof, apex 50 ft 57 ft out at 320°M, second leg to 290°M · NEC search"
21,NR2-L2,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,36,20,1.14,-17.8,17,24,1.22,20,51,-0.84,20,35,73,"on the lot","","Inverted-L from the roof, rising to 73 ft 84 ft out at 47°M, then 33 ft hanging down · NEC search, 40+20 m"
22,A,bent / flat-top,"bent wire (§3/§4)",24,35,21,1.58,-5.8,32,19,0.81,33,49,-0.16,44,29,50,"on the lot","","Bent flat-top, 2 tree supports (RECOMMENDED)"
23,NR-L3,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,35,21,0.78,-8.3,52,16,-0.39,17,52,-1.31,12,37,58,"on the lot","","Inverted-L from the roof, rising to 58 ft 75 ft out at 345°M, then 48 ft hanging down · NEC search"
24,NR2-V1,inverted-V,"bent wire (§3/§4)",25,35,20,0.61,-9.7,19,24,0.46,54,46,-0.25,61,26,50,"on the lot","","Inverted-V from the roof, apex 50 ft 55 ft out at 307°M, second leg to 337°M · NEC search, 40+20 m"
25,NR-L4,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,35,19,1.45,-7.1,18,24,1.18,4,57,-0.60,6,39,65,"on the lot","","Inverted-L from the roof, rising to 65 ft 89 ft out at 264°M, then 33 ft hanging down · NEC search"
26,NR2-L1,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,35,19,1.30,-9.0,16,24,1.23,9,55,-0.61,9,38,71,"on the lot","","Inverted-L from the roof, rising to 71 ft 85 ft out at 265°M, then 33 ft hanging down · NEC search, 40+20 m"
27,NR2-V2,inverted-V,"bent wire (§3/§4)",25,34,21,0.46,-14.5,20,23,0.35,83,37,-1.42,84,19,50,"on the lot","","Inverted-V from the roof, apex 50 ft 52 ft out at 85°M, second leg to 70°M · NEC search, 40+20 m"
28,NR2-V3,inverted-V,"bent wire (§3/§4)",25,34,19,0.79,-10.4,22,23,0.60,49,47,-0.11,60,26,50,"on the lot","","Inverted-V from the roof, apex 50 ft 55 ft out at 351°M, second leg to 325°M · NEC search, 40+20 m"
29,NR-DN1,sloper,"slant (§9, LOW)",25,34,17,1.65,-19.2,50,17,0.39,99,21,-4.74,101,8,21,"on the lot","","Sloper DOWN from the roof (25 ft) to a 21 ft end 130 ft out at 307°M · NEC search"
30,W-F10A,bent flat-top,"bent wire (§3/§4)",10,33,22,0.99,-15.9,30,20,0.71,10,54,0.06,28,33,50,"on the lot","","F10-A with leg 2 re-aimed to 20°M for 40+20 m"
31,N2-SL2,sloper,"slant (§9, LOW)",10,33,21,0.62,-8.5,9,28,1.08,58,44,-1.09,57,26,68,"tree top 42 ft past the south line","","Sloper up from the transformer (10 ft) to a 68 ft support 116 ft out at 160°M · NEC search, 40+20 m"
32,NR-L5,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,33,19,0.55,-11.8,25,22,0.69,50,47,-1.25,25,34,71,"on the lot","","Inverted-L from the roof, rising to 71 ft 85 ft out at 77°M, then 33 ft hanging down · NEC search"
33,NR-L6,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,32,22,0.32,-16.8,64,15,-0.78,38,48,-1.50,11,37,59,"on the lot","","Inverted-L from the roof, rising to 59 ft 73 ft out at 7°M, then 49 ft hanging down · NEC search"
34,R-V2,inverted-V,"bent wire (§3/§4)",25,32,21,0.96,-7.0,40,18,0.25,11,54,-0.02,41,30,50,"on the lot","","Inverted-V from the roof, apex 50 ft 56 ft out at 334°M, second leg to 3°M"
35,NR2-L3,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,32,19,0.67,-13.1,21,23,0.83,37,49,-1.19,17,36,71,"on the lot","","Inverted-L from the roof, rising to 71 ft 85 ft out at 72°M, then 33 ft hanging down · NEC search, 40+20 m"
36,S3,sloper,"horizontal (§3/§4)",24,31,19,1.34,-13.5,27,22,1.09,78,38,-1.22,74,22,50,"on the lot","","Straight sloper to a 50 ft TREE, feed 24 ft, bearing 358T"
37,N-V1,inverted-V,"bent wire (§3/§4)",10,30,20,0.63,-9.6,43,17,-0.08,75,39,-1.68,75,22,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 51 ft out at 271°M, second leg to 317°M · NEC search"
38,S5,sloper,"horizontal (§3/§4)",24,30,17,1.47,-25.0,66,15,0.31,97,23,-4.06,97,12,24,"on the lot","","Straight sloper to a 24 ft PVC mast, feed 24 ft, over the LAWN, bearing 70T"
39,CURRENT,sloper,"slant (§9, LOW)",10,30,15,0.66,-16.3,41,18,0.46,96,24,-3.70,99,9,45,"far end 2 ft past the south line","","AS BUILT - straight sloper, feed 10 ft to a 45 ft end (operator's GPX)"
40,RB-NOTREE,sloper,"slant (§9, LOW)",10,30,14,0.56,-10.9,61,16,-0.10,102,11,-6.03,102,4,30,"on the lot","","NO trees at all - single span, feed 10 ft to a 30 ft post"
41,N-V2,inverted-V,"bent wire (§3/§4)",10,29,21,0.45,-9.7,72,14,-0.41,64,42,-1.01,67,25,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 49 ft out at 53°M, second leg to 5°M · NEC search"
42,N-L1,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,29,14,0.12,-15.1,54,16,0.04,21,50,-0.93,30,32,47,"on the lot","","Inverted-L from the transformer, rising to 47 ft 89 ft out at 264°M, then 34 ft hanging down · NEC search"
43,N-V3,inverted-V,"bent wire (§3/§4)",10,28,20,0.22,-10.6,45,17,-0.05,86,35,-1.35,85,19,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 49 ft out at 341°M, second leg to 335°M · NEC search"
44,N2-V2,inverted-V,"bent wire (§3/§4)",10,28,19,0.17,-9.6,37,18,-0.27,91,28,-2.88,92,16,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 48 ft out at 46°M, second leg to 42°M · NEC search, 40+20 m"
45,V1,inverted-V,"bent wire (§3/§4)",24,28,17,0.76,-9.6,59,16,0.02,57,44,-0.88,65,25,50,"on the lot","","Inverted-V, ONE tree support at 50 ft, feed 24 ft"
46,N-L2,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,28,15,-0.36,-13.1,49,17,-0.36,48,47,-2.21,40,30,45,"on the lot","","Inverted-L from the transformer, rising to 45 ft 90 ft out at 115°M, then 33 ft hanging down · NEC search"
47,R-L3,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,27,19,0.88,-17.4,31,19,0.80,8,55,-1.07,8,38,68,"on the lot","","Inverted-L from the roof, rising to 68 ft 86 ft out at 352°M, then 34 ft hanging down"
48,N2-V1,inverted-V,"bent wire (§3/§4)",10,27,19,0.16,-17.0,36,18,-0.07,67,42,-0.70,73,22,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 49 ft out at 352°M, second leg to 335°M · NEC search, 40+20 m"
49,N2-V3,inverted-V,"bent wire (§3/§4)",10,27,16,0.47,-9.3,39,18,0.22,81,37,-1.06,87,18,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 50 ft out at 150°M, second leg to 85°M · NEC search, 40+20 m"
50,S2,sloper,"horizontal (§3/§4)",24,27,15,0.68,-26.2,68,15,0.13,90,29,-3.49,93,14,24,"on the lot","","Straight sloper to a 24 ft PVC mast, feed 24 ft, bearing 355T"
51,N2-L3,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,27,14,-0.19,-16.6,55,16,-0.15,13,53,-0.82,21,34,46,"on the lot","","Inverted-L from the transformer, rising to 46 ft 89 ft out at 257°M, then 34 ft hanging down · NEC search, 40+20 m"
52,R-V1,inverted-V,"bent wire (§3/§4)",25,26,17,0.51,-7.1,42,18,0.32,16,52,-0.32,42,30,50,"on the lot","","Inverted-V from the roof, apex 50 ft 60 ft out at 3°M, second leg to 328°M"
53,R-DN1,sloper,"slant (§9, LOW)",25,26,15,0.67,-22.0,67,15,0.14,87,34,-3.37,88,18,21,"on the lot","","Sloper DOWN from the roof (25 ft) to a 21 ft end 130 ft out at 339°M"
54,N-L3,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,26,14,-0.03,-12.1,71,14,-0.12,41,48,-1.24,23,34,51,"on the lot","","Inverted-L from the transformer, rising to 51 ft 83 ft out at 52°M, then 37 ft hanging down · NEC search"
55,SRCH-SL3,sloper,"slant (§9, LOW)",10,25,16,0.54,-12.2,33,19,0.77,28,49,-1.41,38,31,87,"on the lot","","Sloper up from the transformer (10 ft) to a 87 ft support 105 ft out at 261°M"
56,RB-1TREE,garden post,"bent wire (§3/§4)",10,25,15,1.52,-10.6,73,14,0.58,44,48,-0.40,56,26,50,"on the lot","","Apex tree at 50 ft, then ONE post at 30 ft in the staked strip (best found)"
57,R-L1,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,25,14,0.82,-11.0,80,12,-0.05,2,58,-0.33,10,38,62,"on the lot","","Inverted-L from the roof, rising to 62 ft 77 ft out at 257°M, then 44 ft hanging down"
58,N2-L1,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,24,17,-0.25,-11.0,35,18,0.13,18,52,-1.75,16,36,56,"on the lot","","Inverted-L from the transformer, rising to 56 ft 82 ft out at 334°M, then 36 ft hanging down · NEC search, 40+20 m"
59,R-SL3,sloper,"slant (§9, LOW)",25,24,16,0.02,-13.3,46,17,0.41,29,49,-2.34,31,32,120,"on the lot","","Sloper up from the roof (25 ft) to a 120 ft support 89 ft out at 37°M"
60,V3,inverted-V,"bent wire (§3/§4)",10,24,14,0.28,-18.5,94,11,-0.47,103,7,-7.99,103,3,24,"on the lot","","Inverted-V on a 24 ft PVC mast (symmetric)"
61,W-V2,inverted-V,"bent wire (§3/§4)",10,23,17,0.10,-13.1,82,12,-0.48,47,47,-1.00,46,29,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 52 ft out at 326°M, second leg to 8°M"
62,R-V3,inverted-V,"bent wire (§3/§4)",25,23,16,0.38,-12.1,76,13,-0.07,15,53,0.02,29,33,50,"on the lot","","Inverted-V from the roof, apex 50 ft 61 ft out at 27°M, second leg to 343°M"
63,W-V3,inverted-V,"bent wire (§3/§4)",10,23,16,0.08,-8.4,63,15,-0.29,36,49,-0.51,43,30,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 51 ft out at 26°M, second leg to 344°M"
64,N2-L2,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,23,16,-0.23,-23.0,38,18,0.25,40,48,-0.97,35,32,58,"on the lot","","Inverted-L from the transformer, rising to 58 ft 84 ft out at 47°M, then 34 ft hanging down · NEC search, 40+20 m"
65,SRCH-V2,inverted-V,"bent wire (§3/§4)",10,23,15,-0.04,-13.4,60,16,-0.14,25,50,-0.57,51,28,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 52 ft out at 3°M, second leg to 333°M"
66,F10-A,bent / flat-top,"bent wire (§3/§4)",10,23,13,0.85,-11.8,74,14,0.24,45,47,-0.46,53,27,50,"on the lot","","Bent flat-top (option A geometry) with the feed at 10 ft"
67,C-BACK-X,sloper,"slant (§9, LOW)",24,22,17,0.15,-18.5,44,17,0.26,42,48,-2.02,27,33,110,"tree top 8 ft past the south line","","Sloper, rotation locked to the BACKYARD-corner bearing (155T), parcel IGNORED"
68,SRCH-V1,inverted-V,"bent wire (§3/§4)",10,22,17,0.15,-14.9,84,12,-0.60,27,50,-0.51,52,28,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 53 ft out at 333°M, second leg to 21°M"
69,N-RB20,garden post,"bent wire (§3/§4)",10,22,15,0.91,-10.0,86,12,0.04,52,46,-0.72,71,24,50,"on the lot","N2-RB20","RB-POST20, post re-placed on NEC: 92 ft at 101°M"
70,C-FRONT,sloper,"slant (§9, LOW)",24,21,17,0.21,-20.8,70,14,0.14,56,44,-3.05,39,30,119,"on the lot","","Sloper, rotation locked to the FRONT-YARD-corner bearing (326T)"
71,G-ROOF,sloper,"slant (§9, LOW)",25,21,15,-0.08,-10.9,47,17,0.36,30,49,-2.41,32,32,121,"on the lot","","BEST single-support sloper, ROOF feed"
72,V2,inverted-V,"bent wire (§3/§4)",10,21,14,0.07,-7.8,83,12,-0.52,70,40,-1.31,80,21,50,"on the lot","F10-V","Inverted-V, ONE tree support at 50 ft, feed 10 ft"
73,G-FEED,sloper,"slant (§9, LOW)",24,20,15,-0.18,-10.5,48,17,0.24,31,49,-2.45,33,32,120,"on the lot","","BEST single-support sloper, existing feed"
74,RB-POST20,garden post,"bent wire (§3/§4)",10,20,14,0.84,-9.3,87,12,0.03,46,47,-0.71,64,25,50,"on the lot","W-RB20","Apex tree at 50 ft, then ONE post at 20 ft in the staked strip (recommended)"
75,RF-APEX,sloper,"slant (§9, LOW)",25,19,15,-0.74,-20.5,56,16,-0.28,72,39,-4.11,63,25,138,"on the lot","","Sloper to the APEX tree from a ROOF feed"
76,R-SL1,sloper,"slant (§9, LOW)",25,19,13,-0.16,-14.6,79,13,-0.03,23,50,-1.97,37,31,113,"tree top 67 ft past the south line","","Sloper up from the roof (25 ft) to a 113 ft support 95 ft out at 185°M"
77,W-V1,inverted-V,"bent wire (§3/§4)",10,19,13,-0.22,-18.2,78,13,-0.30,53,46,-1.24,45,29,50,"on the lot","","Inverted-V from the transformer, apex 50 ft 54 ft out at 2°M, second leg to 320°M"
78,R-L2,inverted-L,"hybrid §3+§9 (UNVALIDATED)",25,19,12,0.38,-9.8,89,11,-0.25,1,59,-0.75,13,37,67,"on the lot","","Inverted-L from the roof, rising to 67 ft 74 ft out at 272°M, then 44 ft hanging down"
79,SRCH-L1,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,19,11,-0.10,-13.2,85,12,0.26,3,58,-0.59,7,39,53,"on the lot","","Inverted-L from the transformer, rising to 53 ft 87 ft out at 256°M, then 33 ft hanging down"
80,T60,sloper,"slant (§9, LOW)",24,18,16,-0.86,-18.3,65,15,-0.36,55,44,-4.15,49,28,137,"on the lot","","Tall sloper, 60 deg slope, top 137 ft, bearing 337T"
81,F10-G,sloper,"slant (§9, LOW)",10,18,15,-0.25,-19.7,69,14,0.33,32,49,-3.05,18,35,105,"on the lot","SRCH-SL2 W-SL2","BEST single-support sloper with a 10 ft feed"
82,F10-CF,sloper,"slant (§9, LOW)",10,18,14,-0.32,-17.2,77,13,-0.13,63,42,-3.24,50,28,106,"on the lot","","Sloper, feed 10 ft, locked to the FRONT-YARD bearing (326T)"
83,T-APEX,sloper,"slant (§9, LOW)",24,17,14,-1.21,-14.8,58,16,-0.46,80,37,-4.78,70,24,143,"on the lot","","Tall sloper, 66 deg slope, top 143 ft (existing apex tree)"
84,SRCH-V3,inverted-V,"bent wire (§3/§4)",10,17,13,-0.35,-11.8,91,11,-0.60,39,48,-0.68,55,27,50,"on the lot, inside the 5 m setback","","Inverted-V from the transformer, apex 50 ft 52 ft out at 241°M, second leg to 201°M"
85,F10-APEX,sloper,"slant (§9, LOW)",10,17,12,-1.62,-15.4,62,16,-0.80,79,37,-4.49,69,24,129,"on the lot","","Sloper to the APEX tree, feed 10 ft"
86,T45,sloper,"slant (§9, LOW)",24,17,9,0.03,-10.8,93,11,-0.30,35,49,-2.62,36,32,116,"on the lot, inside the 5 m setback","","Tall sloper, 45 deg slope, top 116 ft, bearing 143T"
87,K-FRONT,sloper,"slant (§9, LOW)",24,16,16,-0.61,-18.8,51,16,0.37,101,11,-8.07,100,9,152,"on the lot","","Sloper to the FRONT-YARD-corner tree"
88,F10-FRONT,sloper,"slant (§9, LOW)",10,16,14,-0.49,-16.4,53,16,0.48,100,14,-7.63,95,12,138,"on the lot","","Sloper to the FRONT-YARD-corner tree, feed 10 ft"
89,W-SL1,sloper,"slant (§9, LOW)",10,16,14,-1.15,-16.6,57,16,-0.42,43,48,-2.38,14,37,98,"tree top 17 ft past the south line","","Sloper up from the transformer (10 ft) to a 98 ft support 95 ft out at 153°M"
90,C-BACK,sloper,"slant (§9, LOW)",24,16,11,-1.07,-22.5,95,10,-0.92,74,39,-4.53,47,28,135,"on the lot","","Sloper, rotation locked to the BACKYARD-corner bearing (155T)"
91,BASE,bent / flat-top,"bent wire (§3/§4)",10,16,10,-0.18,-11.7,100,7,-1.24,84,35,-2.84,94,14,35,"on the lot","","Baseline as first described (feed 10 ft, apex 35 ft)"
92,W-L1,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,15,11,-0.73,-14.1,90,11,-0.45,14,53,-1.27,1,42,46,"on the lot","","Inverted-L from the transformer, rising to 46 ft 89 ft out at 237°M, then 34 ft hanging down"
93,S1,sloper,"horizontal (§3/§4)",10,15,9,-0.91,-17.2,101,7,-1.11,98,22,-5.93,98,10,24,"on the lot","","Straight sloper to a 24 ft PVC mast, feed 10 ft, bearing 358T"
94,SRCH-L3,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,14,12,-0.97,-13.8,81,12,-0.43,5,57,-1.06,2,42,56,"on the lot","","Inverted-L from the transformer, rising to 56 ft 84 ft out at 237°M, then 34 ft hanging down"
95,F10-BACK,sloper,"slant (§9, LOW)",10,14,11,-1.93,-29.0,75,14,-1.24,92,27,-5.67,77,21,134,"on the lot","","Sloper to the BACKYARD-corner tree, feed 10 ft"
96,T75,sloper,"slant (§9, LOW)",24,13,11,-1.50,-22.0,92,11,-0.86,95,26,-5.79,91,16,149,"on the lot","","Tall sloper, 75 deg slope, top 149 ft, bearing 105T"
97,W-L2,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,12,10,-1.00,-15.2,98,8,-0.56,22,50,-1.81,3,40,56,"on the lot","","Inverted-L from the transformer, rising to 56 ft 85 ft out at 15°M, then 33 ft hanging down"
98,K-BACK,sloper,"slant (§9, LOW)",24,12,10,-2.17,-32.3,88,12,-1.43,94,26,-5.61,81,20,148,"on the lot","","Sloper to the BACKYARD-corner tree"
99,F10-CB,sloper,"slant (§9, LOW)",10,11,9,-1.53,-23.2,97,9,-1.18,73,39,-4.51,48,28,122,"on the lot","","Sloper, feed 10 ft, locked to the BACKYARD bearing (155T)"
100,W-SL3,sloper,"slant (§9, LOW)",10,11,8,-1.56,-18.1,96,10,-1.11,60,43,-3.90,24,34,116,"tree top 5 ft past the south line","","Sloper up from the transformer (10 ft) to a 116 ft support 75 ft out at 180°M"
101,SRCH-L2,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,10,9,-0.82,-11.3,102,4,-1.31,6,56,-1.19,5,40,52,"on the lot, inside the 5 m setback","","Inverted-L from the transformer, rising to 52 ft 76 ft out at 153°M, then 43 ft hanging down"
102,SRCH-SL1,sloper,"slant (§9, LOW)",10,10,7,-1.13,-29.2,99,7,-0.84,24,50,-2.93,34,32,107,"tree top 15 ft past the south line","","Sloper up from the transformer (10 ft) to a 107 ft support 86 ft out at 189°M"
103,W-L3,inverted-L,"hybrid §3+§9 (UNVALIDATED)",10,8,8,-0.88,-10.8,103,2,-1.40,7,56,-1.20,4,40,52,"on the lot, inside the 5 m setback","","Inverted-L from the transformer, rising to 52 ft 75 ft out at 155°M, then 43 ft hanging down"
