# Aggregate per option per band, across all 25 regions.
# aggregate_dB  = normalised to the wire's own peak (compare options
#                 within one band only).
# aggregate_dBi = aggregate_dB + band peak directivity. THIS is the
#                 one to compare across bands.
# n_workable counts regions at or above -5.0 dBi; holes below -10.0.
# mean_imax_height_ft is band-specific: the current maxima move with
# the harmonic number. Pure arithmetic, HIGH confidence.
# peak_elev_deg: ground-reflection lobe for flat options; for slant
# options a numeric scan of the slant model (METHOD.md s9, LOW).
key,band,freq_MHz,n_half_waves,aggregate_dB,aggregate_dBi,median_dB,worst_dB,n_workable,n_holes,mean_imax_height_ft,peak_elev_deg,label
S3,80m,3.550,1,-11.25,-9.10,-13.8,-29.2,3,16,37.0,zenith,"Straight sloper to a 50 ft TREE, feed 24 ft, bearing 358T"
S3,40m,7.100,2,-9.74,-5.94,-16.2,-51.7,8,15,37.0,69,"Straight sloper to a 50 ft TREE, feed 24 ft, bearing 358T"
S3,20m,14.150,4,-5.98,-0.68,-9.0,-87.2,14,8,37.0,28,"Straight sloper to a 50 ft TREE, feed 24 ft, bearing 358T"
S3,15m,21.200,6,-5.76,0.64,-7.2,-43.4,16,8,37.0,18,"Straight sloper to a 50 ft TREE, feed 24 ft, bearing 358T"
S3,10m,28.500,8,-7.02,0.08,-14.3,-74.1,11,11,37.0,13,"Straight sloper to a 50 ft TREE, feed 24 ft, bearing 358T"
S4,80m,3.550,1,-12.52,-10.37,-15.0,-51.9,2,19,37.0,zenith,"Straight sloper to a 50 ft tree, feed 24 ft, over the LAWN, bearing 83T"
S4,40m,7.100,2,-11.78,-7.98,-19.7,-103.1,3,18,37.0,69,"Straight sloper to a 50 ft tree, feed 24 ft, over the LAWN, bearing 83T"
S4,20m,14.150,4,-8.04,-2.74,-9.1,-121.4,14,11,37.0,28,"Straight sloper to a 50 ft tree, feed 24 ft, over the LAWN, bearing 83T"
S4,15m,21.200,6,-6.10,0.30,-9.0,-114.4,15,7,37.0,18,"Straight sloper to a 50 ft tree, feed 24 ft, over the LAWN, bearing 83T"
S4,10m,28.500,8,-6.48,0.62,-11.1,-110.1,16,6,37.0,13,"Straight sloper to a 50 ft tree, feed 24 ft, over the LAWN, bearing 83T"
S5,80m,3.550,1,-15.22,-13.07,-19.3,-36.8,1,21,24.0,zenith,"Straight sloper to a 24 ft PVC mast, feed 24 ft, over the LAWN, bearing 70T"
S5,40m,7.100,2,-13.54,-9.74,-18.9,-72.0,2,19,24.0,zenith,"Straight sloper to a 24 ft PVC mast, feed 24 ft, over the LAWN, bearing 70T"
S5,20m,14.150,4,-9.69,-4.39,-14.3,-57.1,10,11,24.0,46,"Straight sloper to a 24 ft PVC mast, feed 24 ft, over the LAWN, bearing 70T"
S5,15m,21.200,6,-7.90,-1.50,-12.3,-69.5,11,8,24.0,29,"Straight sloper to a 24 ft PVC mast, feed 24 ft, over the LAWN, bearing 70T"
S5,10m,28.500,8,-8.20,-1.10,-12.2,-59.5,12,10,24.0,21,"Straight sloper to a 24 ft PVC mast, feed 24 ft, over the LAWN, bearing 70T"
T30,80m,3.550,1,-7.16,-5.01,-7.6,-13.0,10,2,56.5,67,"Tall sloper, 30 deg slope, top 89 ft, bearing 176T"
T30,40m,7.100,2,-7.69,-3.89,-9.3,-35.9,12,5,56.5,38,"Tall sloper, 30 deg slope, top 89 ft, bearing 176T"
T30,20m,14.150,4,-4.49,0.81,-3.9,-50.7,21,3,56.5,67,"Tall sloper, 30 deg slope, top 89 ft, bearing 176T"
T30,15m,21.200,6,-6.49,-0.09,-9.7,-44.2,16,7,56.5,12,"Tall sloper, 30 deg slope, top 89 ft, bearing 176T"
T30,10m,28.500,8,-8.51,-1.41,-13.4,-54.9,10,10,56.5,9,"Tall sloper, 30 deg slope, top 89 ft, bearing 176T"
T45,80m,3.550,1,-6.75,-4.60,-6.3,-16.0,15,4,69.9,51,"Tall sloper, 45 deg slope, top 116 ft, bearing 143T"
T45,40m,7.100,2,-7.26,-3.46,-7.7,-40.5,16,7,69.9,29,"Tall sloper, 45 deg slope, top 116 ft, bearing 143T"
T45,20m,14.150,4,-7.41,-2.11,-9.8,-66.2,16,9,69.9,14,"Tall sloper, 45 deg slope, top 116 ft, bearing 143T"
T45,15m,21.200,6,-8.81,-2.41,-10.4,-46.5,17,5,69.9,56,"Tall sloper, 45 deg slope, top 116 ft, bearing 143T"
T45,10m,28.500,8,-10.04,-2.94,-11.2,-47.3,13,8,69.9,60,"Tall sloper, 45 deg slope, top 116 ft, bearing 143T"
T60,80m,3.550,1,-7.23,-5.08,-7.1,-20.3,13,1,80.3,17,"Tall sloper, 60 deg slope, top 137 ft, bearing 337T"
T60,40m,7.100,2,-8.71,-4.91,-8.5,-32.1,14,7,80.3,15,"Tall sloper, 60 deg slope, top 137 ft, bearing 337T"
T60,20m,14.150,4,-9.55,-4.25,-9.5,-46.5,14,10,80.3,60,"Tall sloper, 60 deg slope, top 137 ft, bearing 337T"
T60,15m,21.200,6,-9.81,-3.41,-9.1,-74.0,16,6,80.3,60,"Tall sloper, 60 deg slope, top 137 ft, bearing 337T"
T60,10m,28.500,8,-14.25,-7.15,-17.1,-81.0,5,13,80.3,59,"Tall sloper, 60 deg slope, top 137 ft, bearing 337T"
T75,80m,3.550,1,-7.29,-5.14,-6.2,-20.3,16,5,86.7,15,"Tall sloper, 75 deg slope, top 149 ft, bearing 105T"
T75,40m,7.100,2,-10.23,-6.43,-10.0,-20.9,9,7,86.7,10,"Tall sloper, 75 deg slope, top 149 ft, bearing 105T"
T75,20m,14.150,4,-10.96,-5.66,-17.7,-65.4,7,14,86.7,24,"Tall sloper, 75 deg slope, top 149 ft, bearing 105T"
T75,15m,21.200,6,-11.75,-5.35,-12.9,-92.2,10,10,86.7,32,"Tall sloper, 75 deg slope, top 149 ft, bearing 105T"
T75,10m,28.500,8,-17.19,-10.09,-25.9,-63.7,2,18,86.7,37,"Tall sloper, 75 deg slope, top 149 ft, bearing 105T"
T-APEX,80m,3.550,1,-7.25,-5.10,-7.1,-17.1,14,4,83.4,15,"Tall sloper, 66 deg slope, top 143 ft (existing apex tree)"
T-APEX,40m,7.100,2,-9.33,-5.53,-9.2,-25.0,12,7,83.4,10,"Tall sloper, 66 deg slope, top 143 ft (existing apex tree)"
T-APEX,20m,14.150,4,-10.19,-4.89,-11.2,-63.7,12,10,83.4,56,"Tall sloper, 66 deg slope, top 143 ft (existing apex tree)"
T-APEX,15m,21.200,6,-10.45,-4.05,-10.6,-48.4,13,9,83.4,57,"Tall sloper, 66 deg slope, top 143 ft (existing apex tree)"
T-APEX,10m,28.500,8,-14.74,-7.64,-18.2,-56.7,6,13,83.4,56,"Tall sloper, 66 deg slope, top 143 ft (existing apex tree)"
K-BACK,80m,3.550,1,-6.95,-4.80,-5.9,-25.1,16,4,85.8,15,"Sloper to the BACKYARD-corner tree"
K-BACK,40m,7.100,2,-9.35,-5.55,-9.1,-28.7,12,6,85.8,10,"Sloper to the BACKYARD-corner tree"
K-BACK,20m,14.150,4,-10.68,-5.38,-18.4,-92.7,8,15,85.8,53,"Sloper to the BACKYARD-corner tree"
K-BACK,15m,21.200,6,-12.34,-5.94,-13.8,-62.8,6,9,85.8,54,"Sloper to the BACKYARD-corner tree"
K-BACK,10m,28.500,8,-15.14,-8.04,-20.0,-59.7,4,16,85.8,37,"Sloper to the BACKYARD-corner tree"
K-FRONT,80m,3.550,1,-7.75,-5.60,-6.9,-22.3,13,6,87.9,15,"Sloper to the FRONT-YARD-corner tree"
K-FRONT,40m,7.100,2,-11.08,-7.28,-11.3,-18.1,3,6,87.9,10,"Sloper to the FRONT-YARD-corner tree"
K-FRONT,20m,14.150,4,-12.01,-6.71,-17.0,-43.6,6,15,87.9,24,"Sloper to the FRONT-YARD-corner tree"
K-FRONT,15m,21.200,6,-18.14,-11.74,-28.3,-70.5,2,21,87.9,52,"Sloper to the FRONT-YARD-corner tree"
K-FRONT,10m,28.500,8,-12.29,-5.19,-12.9,-33.3,9,6,87.9,52,"Sloper to the FRONT-YARD-corner tree"
C-BACK,80m,3.550,1,-6.55,-4.40,-6.1,-27.2,16,3,79.7,19,"Sloper, rotation locked to the BACKYARD-corner bearing (155T)"
C-BACK,40m,7.100,2,-7.78,-3.98,-6.8,-44.9,16,5,79.7,15,"Sloper, rotation locked to the BACKYARD-corner bearing (155T)"
C-BACK,20m,14.150,4,-9.71,-4.41,-12.1,-60.6,12,8,79.7,61,"Sloper, rotation locked to the BACKYARD-corner bearing (155T)"
C-BACK,15m,21.200,6,-11.70,-5.30,-13.6,-69.3,11,12,79.7,62,"Sloper, rotation locked to the BACKYARD-corner bearing (155T)"
C-BACK,10m,28.500,8,-11.61,-4.51,-12.5,-99.0,12,8,79.7,40,"Sloper, rotation locked to the BACKYARD-corner bearing (155T)"
C-BACK-X,80m,3.550,1,-6.77,-4.62,-6.5,-13.7,17,2,66.8,55,"Sloper, rotation locked to the BACKYARD-corner bearing (155T), parcel IGNORED"
C-BACK-X,40m,7.100,2,-7.48,-3.68,-7.6,-52.7,15,6,66.8,32,"Sloper, rotation locked to the BACKYARD-corner bearing (155T), parcel IGNORED"
C-BACK-X,20m,14.150,4,-5.95,-0.65,-7.2,-50.2,18,4,66.8,15,"Sloper, rotation locked to the BACKYARD-corner bearing (155T), parcel IGNORED"
C-BACK-X,15m,21.200,6,-8.67,-2.27,-10.9,-51.6,15,8,66.8,31,"Sloper, rotation locked to the BACKYARD-corner bearing (155T), parcel IGNORED"
C-BACK-X,10m,28.500,8,-9.21,-2.11,-14.9,-66.1,11,10,66.8,65,"Sloper, rotation locked to the BACKYARD-corner bearing (155T), parcel IGNORED"
C-FRONT,80m,3.550,1,-6.69,-4.54,-7.1,-28.0,14,6,71.4,49,"Sloper, rotation locked to the FRONT-YARD-corner bearing (326T)"
C-FRONT,40m,7.100,2,-7.18,-3.38,-7.8,-55.0,14,7,71.4,29,"Sloper, rotation locked to the FRONT-YARD-corner bearing (326T)"
C-FRONT,20m,14.150,4,-8.37,-3.07,-9.6,-46.2,16,7,71.4,14,"Sloper, rotation locked to the FRONT-YARD-corner bearing (326T)"
C-FRONT,15m,21.200,6,-9.11,-2.71,-10.3,-104.8,14,9,71.4,54,"Sloper, rotation locked to the FRONT-YARD-corner bearing (326T)"
C-FRONT,10m,28.500,8,-8.91,-1.81,-9.8,-75.9,14,5,71.4,58,"Sloper, rotation locked to the FRONT-YARD-corner bearing (326T)"
G-FEED,80m,3.550,1,-7.22,-5.07,-7.4,-13.0,12,3,72.1,48,"BEST single-support sloper, existing feed"
G-FEED,40m,7.100,2,-8.32,-4.52,-8.8,-22.7,13,8,72.1,29,"BEST single-support sloper, existing feed"
G-FEED,20m,14.150,4,-7.33,-2.03,-8.6,-54.7,19,6,72.1,46,"BEST single-support sloper, existing feed"
G-FEED,15m,21.200,6,-7.78,-1.38,-8.1,-73.5,17,5,72.1,9,"BEST single-support sloper, existing feed"
G-FEED,10m,28.500,8,-9.48,-2.38,-14.5,-64.2,12,10,72.1,36,"BEST single-support sloper, existing feed"
G-ROOF,80m,3.550,1,-7.20,-5.05,-7.5,-13.1,12,3,72.8,48,"BEST single-support sloper, ROOF feed"
G-ROOF,40m,7.100,2,-8.29,-4.49,-8.8,-23.0,13,8,72.8,29,"BEST single-support sloper, ROOF feed"
G-ROOF,20m,14.150,4,-7.30,-2.00,-8.6,-52.1,19,6,72.8,46,"BEST single-support sloper, ROOF feed"
G-ROOF,15m,21.200,6,-7.74,-1.34,-8.0,-80.4,17,5,72.8,9,"BEST single-support sloper, ROOF feed"
G-ROOF,10m,28.500,8,-9.38,-2.28,-14.7,-64.3,11,10,72.8,36,"BEST single-support sloper, ROOF feed"
RF-APEX,80m,3.550,1,-7.34,-5.19,-7.9,-15.0,11,3,81.7,15,"Sloper to the APEX tree from a ROOF feed"
RF-APEX,40m,7.100,2,-9.13,-5.33,-10.2,-24.0,11,9,81.7,39,"Sloper to the APEX tree from a ROOF feed"
RF-APEX,20m,14.150,4,-8.65,-3.35,-7.8,-74.3,14,6,81.7,58,"Sloper to the APEX tree from a ROOF feed"
RF-APEX,15m,21.200,6,-10.29,-3.89,-10.2,-47.8,14,9,81.7,58,"Sloper to the APEX tree from a ROOF feed"
RF-APEX,10m,28.500,8,-12.93,-5.83,-20.7,-69.5,10,14,81.7,57,"Sloper to the APEX tree from a ROOF feed"
