# Every straight sloper off the roof point on NEC-2 (tools/nec_roof_sloper_scan.py).
# Roof feed ENU (-10.7, -10.5), cells workable >= 1.02 dBi. brg in degrees true.
roof_ft,dir,brg_true,brg_mag,run_m,end_ft,slope_deg,cells3,regions3,dBi3,worst3,cells2,dBi2,cells3_thr_minus2,cells3_thr_plus2,nbr_mean3,on_lot,setback_ok
25,down,26.00,10.70,39.30,9.0,7.1,22,12,-0.33,-10.0,13,-0.89,34,10,,1,1
25,down,26.00,10.70,39.35,10.4,6.4,21,12,-0.39,-10.6,12,-0.94,33,9,,1,1
25,down,26.00,10.70,39.40,12.0,5.8,19,12,-0.44,-11.3,10,-0.98,32,9,,1,1
25,down,26.00,10.70,39.45,13.7,5.0,19,12,-0.45,-12.0,10,-1.01,33,9,,1,1
25,down,26.00,10.70,39.50,15.8,4.1,19,13,-0.42,-13.4,9,-1.02,36,8,,1,1
25,down,26.00,10.70,39.55,18.5,2.9,20,14,-0.31,-14.7,10,-0.99,36,8,,1,1
25,down,27.00,11.70,39.30,9.0,7.1,21,12,-0.36,-10.2,12,-0.94,37,9,,1,1
25,down,27.00,11.70,39.35,10.4,6.4,21,12,-0.42,-11.0,12,-0.99,35,9,,1,1
25,down,27.00,11.70,39.40,12.0,5.8,21,13,-0.46,-13.6,11,-1.04,35,10,,1,1
25,down,27.00,11.70,39.45,13.7,5.0,19,13,-0.47,-17.3,9,-1.07,35,7,,1,1
25,down,27.00,11.70,39.50,15.8,4.1,20,13,-0.44,-22.7,9,-1.07,36,7,,1,1
25,down,27.00,11.70,39.55,18.5,2.9,20,13,-0.33,-23.3,9,-1.04,35,7,,1,1
25,down,28.00,12.70,39.30,9.0,7.1,22,12,-0.37,-10.3,12,-1.00,38,7,,1,1
25,down,28.00,12.70,39.35,10.4,6.4,22,13,-0.43,-12.6,11,-1.05,36,7,,1,1
25,down,28.00,12.70,39.40,12.0,5.8,21,13,-0.47,-15.2,10,-1.09,32,7,,1,1
25,down,28.00,12.70,39.45,13.7,5.0,20,13,-0.48,-17.6,9,-1.12,34,7,,1,1
25,down,28.00,12.70,39.50,15.8,4.1,20,13,-0.45,-17.6,9,-1.12,35,7,,1,1
25,down,28.00,12.70,39.55,18.5,2.9,20,13,-0.33,-17.4,9,-1.09,35,8,,1,1
25,down,29.00,13.70,39.30,9.0,7.1,23,13,-0.37,-10.3,12,-1.04,36,7,,1,1
25,down,29.00,13.70,39.35,10.4,6.4,22,13,-0.43,-11.2,11,-1.10,34,7,,1,1
25,down,29.00,13.70,39.40,12.0,5.8,20,13,-0.47,-12.3,9,-1.14,33,7,,1,1
25,down,29.00,13.70,39.45,13.7,5.0,19,13,-0.48,-13.6,8,-1.16,34,6,,1,1
25,down,29.00,13.70,39.50,15.8,4.1,21,14,-0.44,-15.5,9,-1.17,35,9,,1,1
25,down,29.00,13.70,39.55,18.5,2.9,21,14,-0.32,-18.7,9,-1.13,34,10,,1,1
25,down,30.00,14.70,39.30,9.0,7.1,22,13,-0.37,-10.1,11,-1.09,35,7,,1,1
25,down,30.00,14.70,39.35,10.4,6.4,23,13,-0.42,-11.0,12,-1.14,34,7,,1,1
25,down,30.00,14.70,39.40,12.0,5.8,20,13,-0.46,-12.1,9,-1.18,33,7,,1,1
25,down,30.00,14.70,39.45,13.7,5.0,20,13,-0.46,-13.5,9,-1.21,34,8,,1,1
25,down,30.00,14.70,39.50,15.8,4.1,20,14,-0.42,-15.5,8,-1.21,34,9,,1,1
25,down,30.00,14.70,39.55,18.5,2.9,20,13,-0.29,-18.7,9,-1.17,33,11,,1,1
25,down,31.00,15.70,39.30,9.0,7.1,22,13,-0.35,-9.8,11,-1.13,35,9,,1,1
25,down,31.00,15.70,39.35,10.4,6.4,23,13,-0.40,-10.7,12,-1.18,32,9,,1,1
25,down,31.00,15.70,39.40,12.0,5.8,20,13,-0.43,-11.7,9,-1.22,32,8,,1,1
25,down,31.00,15.70,39.45,13.7,5.0,19,13,-0.43,-13.1,8,-1.24,32,9,,1,1
25,down,31.00,15.70,39.50,15.8,4.1,20,14,-0.38,-15.0,8,-1.24,35,9,,1,1
25,down,31.00,15.70,39.55,18.5,2.9,18,13,-0.25,-18.0,7,-1.20,34,11,,1,1
25,down,32.00,16.70,39.30,9.0,7.1,19,12,-0.33,-10.1,9,-1.16,35,9,,1,1
25,down,32.00,16.70,39.35,10.4,6.4,18,12,-0.38,-10.3,9,-1.21,33,9,,1,1
25,down,32.00,16.70,39.40,12.0,5.8,17,12,-0.40,-11.2,8,-1.25,32,9,,1,1
25,down,32.00,16.70,39.45,13.7,5.0,18,13,-0.39,-12.4,8,-1.27,33,9,,1,1
25,down,32.00,16.70,39.50,15.8,4.1,19,14,-0.34,-14.0,8,-1.27,33,9,,1,1
25,down,32.00,16.70,39.55,18.5,2.9,20,14,-0.21,-16.5,8,-1.22,33,9,,1,1
25,down,33.00,17.70,39.30,9.0,7.1,17,11,-0.30,-10.5,9,-1.19,35,9,,1,1
25,down,33.00,17.70,39.35,10.4,6.4,18,12,-0.34,-10.9,9,-1.23,34,9,,1,1
25,down,33.00,17.70,39.40,12.0,5.8,19,13,-0.36,-11.3,9,-1.27,32,9,,1,1
25,down,33.00,17.70,39.45,13.7,5.0,18,13,-0.35,-11.6,8,-1.29,31,9,,1,1
25,down,33.00,17.70,39.50,15.8,4.1,18,13,-0.29,-12.9,8,-1.28,33,9,,1,1
25,down,33.00,17.70,39.55,18.5,2.9,20,14,-0.15,-14.8,9,-1.23,34,9,,1,1
25,down,34.00,18.70,39.30,9.0,7.1,18,12,-0.28,-11.0,9,-1.21,36,10,,1,1
25,down,34.00,18.70,39.35,10.4,6.4,16,12,-0.31,-11.5,7,-1.25,34,9,,1,1
25,down,34.00,18.70,39.40,12.0,5.8,17,12,-0.32,-12.0,8,-1.28,31,8,,1,1
25,down,34.00,18.70,39.45,13.7,5.0,18,13,-0.30,-12.5,8,-1.30,30,9,,1,1
25,down,34.00,18.70,39.50,15.8,4.1,18,13,-0.24,-13.0,8,-1.29,31,9,,1,1
25,down,34.00,18.70,39.55,18.5,2.9,19,14,-0.10,-13.4,9,-1.24,33,10,,1,1
25,down,35.00,19.70,39.30,9.0,7.1,19,12,-0.25,-11.5,9,-1.22,35,10,,1,1
25,down,35.00,19.70,39.35,10.4,6.4,17,12,-0.28,-12.0,7,-1.26,33,9,,1,1
25,down,35.00,19.70,39.40,12.0,5.8,17,12,-0.28,-12.7,7,-1.29,31,8,,1,1
25,down,35.00,19.70,39.45,13.7,5.0,20,13,-0.26,-13.4,9,-1.30,30,9,,1,1
25,down,35.00,19.70,39.50,15.8,4.1,22,15,-0.19,-14.2,9,-1.29,31,10,,1,1
25,down,35.00,19.70,39.55,18.5,2.9,22,15,-0.04,-14.9,9,-1.23,32,10,,1,1
25,down,36.00,20.70,39.30,9.0,7.1,20,13,-0.22,-12.0,9,-1.23,35,10,,1,1
25,down,36.00,20.70,39.35,10.4,6.4,19,13,-0.25,-12.5,8,-1.26,33,10,,1,1
25,down,36.00,20.70,39.40,12.0,5.8,19,13,-0.25,-13.2,7,-1.29,31,9,,1,1
25,down,36.00,20.70,39.45,13.7,5.0,19,13,-0.22,-14.2,7,-1.30,31,9,,1,1
25,down,36.00,20.70,39.50,15.8,4.1,21,14,-0.15,-15.3,9,-1.29,31,10,,1,1
25,down,36.00,20.70,39.55,18.5,2.9,23,15,0.01,-16.6,10,-1.22,31,11,,1,1
25,down,37.00,21.70,39.30,9.0,7.1,20,13,-0.20,-12.6,8,-1.22,36,11,,1,1
25,down,37.00,21.70,39.35,10.4,6.4,20,13,-0.22,-13.1,8,-1.26,34,10,,1,1
25,down,37.00,21.70,39.40,12.0,5.8,19,13,-0.22,-13.7,7,-1.28,34,9,,1,1
25,down,37.00,21.70,39.45,13.7,5.0,20,13,-0.19,-14.7,8,-1.29,33,10,,1,1
25,down,37.00,21.70,39.50,15.8,4.1,22,13,-0.11,-16.3,10,-1.27,33,11,,1,1
25,down,37.00,21.70,39.55,18.5,2.9,23,14,0.05,-18.3,11,-1.20,31,13,,1,1
25,down,38.00,22.70,39.30,9.0,7.1,21,13,-0.19,-13.1,9,-1.22,36,11,,1,1
25,down,38.00,22.70,39.35,10.4,6.4,22,13,-0.20,-13.8,10,-1.25,34,12,,1,1
25,down,38.00,22.70,39.40,12.0,5.8,21,13,-0.20,-14.5,9,-1.27,34,10,,1,1
25,down,38.00,22.70,39.45,13.7,5.0,21,13,-0.16,-15.3,9,-1.27,33,11,,1,1
25,down,38.00,22.70,39.50,15.8,4.1,21,13,-0.08,-16.8,9,-1.25,33,12,,1,1
25,down,38.00,22.70,39.55,18.5,2.9,24,14,0.08,-19.6,12,-1.18,34,12,,1,1
25,down,39.00,23.70,39.30,9.0,7.1,23,13,-0.18,-13.7,11,-1.20,35,10,,1,1
25,down,39.00,23.70,39.35,10.4,6.4,22,13,-0.19,-14.4,10,-1.23,33,12,,1,1
25,down,39.00,23.70,39.40,12.0,5.8,21,13,-0.18,-15.2,9,-1.25,33,11,,1,1
25,down,39.00,23.70,39.45,13.7,5.0,21,13,-0.15,-16.2,9,-1.25,34,12,,1,1
25,down,39.00,23.70,39.50,15.8,4.1,22,13,-0.06,-17.4,10,-1.22,36,12,,1,1
25,down,39.00,23.70,39.55,18.5,2.9,25,14,0.11,-19.9,12,-1.14,35,12,,1,1
25,down,40.00,24.70,39.30,9.0,7.1,22,13,-0.18,-14.2,10,-1.18,36,9,,1,1
25,down,40.00,24.70,39.35,10.4,6.4,21,13,-0.19,-15.0,9,-1.20,35,11,,1,1
25,down,40.00,24.70,39.40,12.0,5.8,22,13,-0.18,-15.9,10,-1.22,35,12,,1,1
25,down,40.00,24.70,39.45,13.7,5.0,22,13,-0.14,-17.1,10,-1.21,34,11,,1,1
25,down,40.00,24.70,39.50,15.8,4.1,23,14,-0.05,-18.6,10,-1.18,35,11,,1,1
25,down,40.00,24.70,39.55,18.5,2.9,23,14,0.12,-20.8,10,-1.11,36,14,,1,1
25,down,41.00,25.70,39.30,9.0,7.1,23,13,-0.19,-14.6,11,-1.15,38,9,,1,1
25,down,41.00,25.70,39.35,10.4,6.4,22,13,-0.20,-15.5,10,-1.17,36,10,,1,1
25,down,41.00,25.70,39.40,12.0,5.8,21,13,-0.19,-16.5,9,-1.18,36,11,,1,1
25,down,41.00,25.70,39.45,13.7,5.0,21,13,-0.14,-17.8,9,-1.17,35,10,,1,1
25,down,41.00,25.70,39.50,15.8,4.1,23,15,-0.05,-19.6,9,-1.14,34,12,,1,1
