# Per-region net dB for EVERY resonant band. Long format.
# net_dB  = relative to that wire's own peak lobe (historical
#           convention; comparable ACROSS OPTIONS on one band).
# To compare ACROSS BANDS add the band's peak_dBi:
#   80m=+2.15  40m=+3.80  20m=+5.30  15m=+6.40  10m=+7.10
# arrival_deg is the 20 m arrival angle scaled by the band's
# arrival multiplier - a rule of thumb, LOW confidence.
# 30m/17m/12m are not harmonics of a 39.6 m wire and are absent.
band,freq_MHz,n_half_waves,region,bearing_true_deg,arrival_deg,BASE,A,V1,V2,V3,S1,S2,S3,S4,S5,T30,T45,T60,T75,T-APEX
80m,3.550,1,SoCal,166.9,57.0,-7.4,-2.8,-4.4,-5.2,-11.8,-26.0,-25.9,-19.9,-3.6,-6.9,-9.4,-13.9,-7.8,-20.1,-13.9
80m,3.550,1,New Zealand,226.8,13.3,-14.8,-9.6,-11.5,-12.3,-18.5,-20.5,-17.0,-13.8,-16.4,-24.0,-9.9,-5.7,-5.2,-5.8,-5.2
80m,3.550,1,Hawaii,240.2,28.5,-10.6,-6.3,-8.1,-8.9,-16.1,-14.4,-11.2,-7.9,-16.4,-27.4,-6.4,-4.6,-7.1,-10.1,-7.1
80m,3.550,1,Australia VK2,243.7,11.4,-15.7,-11.3,-13.3,-14.1,-21.7,-19.1,-15.8,-12.4,-22.7,-36.2,-8.1,-5.3,-5.4,-5.4,-5.1
80m,3.550,1,Australia VK6,268.2,9.5,-19.2,-16.2,-18.2,-19.0,-29.6,-19.2,-16.3,-12.6,-35.6,-28.3,-7.2,-5.8,-6.2,-4.9,-5.0
80m,3.550,1,Japan,300.8,19.0,-19.0,-13.8,-15.7,-16.6,-32.6,-18.1,-15.6,-11.5,-15.0,-16.1,-5.9,-5.4,-9.4,-6.2,-5.5
80m,3.550,1,Shanghai,309.5,15.2,-18.8,-13.6,-15.5,-16.4,-29.0,-21.0,-18.6,-14.4,-14.7,-16.5,-7.4,-6.3,-9.1,-5.4,-5.1
80m,3.550,1,Vladivostok,311.0,19.0,-17.2,-12.0,-13.9,-14.8,-27.0,-20.0,-17.6,-13.3,-13.2,-15.0,-6.6,-5.6,-10.0,-6.1,-5.5
80m,3.550,1,Beijing,318.1,17.1,-17.6,-12.3,-14.3,-15.1,-25.9,-22.8,-20.5,-16.1,-13.4,-15.7,-8.0,-6.4,-9.5,-5.4,-5.2
80m,3.550,1,Alaska,320.8,47.5,-10.4,-5.6,-7.3,-8.1,-18.1,-16.5,-14.3,-10.2,-6.5,-8.6,-2.6,-3.3,-20.3,-14.3,-10.0
80m,3.550,1,India,342.8,11.4,-20.1,-14.7,-16.7,-17.6,-25.0,-35.9,-34.9,-29.2,-15.8,-19.3,-13.0,-8.4,-8.9,-5.1,-5.4
80m,3.550,1,Novosibirsk,345.5,19.0,-15.7,-10.5,-12.4,-13.3,-20.4,-33.4,-32.8,-26.7,-11.5,-15.1,-9.7,-6.3,-9.7,-5.4,-5.5
40m,7.100,2,Moscow,11.7,14.5,-13.9,-8.8,-10.7,-11.5,-14.7,-55.8,-47.7,-49.3,-9.6,-16.7,-14.8,-5.7,-13.3,-8.6,-8.7
40m,7.100,2,Kyiv,17.4,14.5,-15.3,-9.5,-11.4,-12.2,-14.4,-46.8,-40.1,-40.2,-10.9,-18.9,-13.8,-5.3,-12.4,-8.8,-9.2
40m,7.100,2,Central Europe,30.5,14.5,-14.6,-7.3,-9.2,-10.0,-14.9,-33.5,-28.3,-26.9,-15.3,-25.6,-11.0,-4.5,-10.4,-9.4,-10.5
40m,7.100,2,United Kingdom,34.5,15.9,-13.0,-6.2,-8.1,-8.9,-14.6,-29.8,-24.9,-23.3,-16.4,-27.5,-9.3,-4.1,-10.3,-10.6,-11.7
40m,7.100,2,Iberia,43.6,14.5,-12.4,-6.9,-8.8,-9.6,-17.3,-25.1,-20.7,-18.6,-22.1,-35.9,-8.3,-4.5,-8.6,-10.0,-11.9
40m,7.100,2,South Africa,58.3,7.2,-18.0,-14.3,-16.2,-17.1,-28.1,-24.9,-21.0,-18.2,-39.7,-62.8,-10.8,-7.7,-7.5,-8.5,-11.3
40m,7.100,2,US Northeast,83.5,21.8,-12.9,-13.5,-15.2,-16.0,-34.6,-10.4,-7.5,-4.2,-103.1,-49.4,-2.8,-10.9,-6.8,-19.3,-20.4
40m,7.100,2,US Midwest,90.6,30.4,-13.1,-15.6,-17.0,-17.7,-40.2,-7.8,-5.2,-2.1,-58.9,-36.0,-3.3,-16.0,-7.3,-19.8,-25.0
40m,7.100,2,Caribbean,103.5,15.9,-23.9,-29.2,-30.9,-31.7,-73.0,-13.4,-11.0,-7.0,-36.7,-27.6,-6.4,-16.6,-5.8,-16.3,-16.3
40m,7.100,2,US Southeast,108.7,21.8,-25.5,-27.5,-29.2,-29.9,-112.9,-12.4,-10.3,-6.2,-29.1,-22.1,-7.2,-20.7,-6.1,-20.0,-18.9
40m,7.100,2,Denver,116.6,36.2,-22.4,-18.5,-19.7,-20.4,-67.5,-11.2,-9.5,-5.7,-19.7,-14.5,-10.3,-33.7,-6.2,-20.9,-23.1
40m,7.100,2,Dallas,118.9,36.2,-20.8,-16.9,-18.1,-18.8,-59.7,-11.9,-10.3,-6.4,-18.0,-13.4,-11.1,-35.5,-6.1,-20.7,-22.5
40m,7.100,2,South America,131.5,10.2,-23.8,-18.6,-20.5,-21.4,-47.0,-27.6,-26.2,-21.0,-20.0,-18.6,-17.3,-22.1,-7.3,-9.4,-9.4
40m,7.100,2,SoCal,166.9,43.5,-3.6,-0.3,-1.2,-1.7,-11.3,-52.5,-58.2,-47.6,-0.7,-3.2,-35.9,-40.5,-6.1,-18.6,-14.6
40m,7.100,2,New Zealand,226.8,10.2,-10.3,-5.4,-7.2,-8.0,-16.3,-21.7,-17.4,-15.2,-22.5,-37.4,-13.4,-5.3,-5.9,-10.1,-7.1
40m,7.100,2,Hawaii,240.2,21.8,-6.6,-4.0,-5.5,-6.2,-17.3,-12.7,-9.0,-6.7,-30.8,-55.9,-8.2,-4.3,-8.5,-11.0,-7.6
40m,7.100,2,Australia VK2,243.7,8.7,-11.4,-8.7,-10.6,-11.4,-23.6,-16.3,-12.7,-9.8,-39.3,-72.0,-7.9,-4.1,-6.5,-8.9,-6.9
40m,7.100,2,Australia VK6,268.2,7.2,-18.7,-19.8,-21.7,-22.5,-43.9,-14.5,-11.6,-7.9,-74.9,-45.7,-5.0,-5.3,-8.3,-7.6,-6.8
40m,7.100,2,Japan,300.8,14.5,-24.3,-19.3,-21.1,-21.9,-59.5,-17.5,-15.7,-11.1,-20.7,-17.2,-4.7,-6.1,-15.5,-10.7,-7.4
40m,7.100,2,Shanghai,309.5,11.6,-20.8,-15.8,-17.6,-18.4,-45.5,-22.7,-21.2,-16.2,-17.1,-15.3,-7.5,-8.0,-15.3,-8.7,-6.7
40m,7.100,2,Vladivostok,311.0,14.5,-18.9,-14.0,-15.7,-16.5,-42.4,-22.2,-20.8,-15.8,-15.2,-13.6,-6.5,-7.0,-16.9,-10.3,-7.3
40m,7.100,2,Beijing,318.1,13.0,-17.5,-12.4,-14.2,-15.1,-36.5,-27.7,-26.7,-21.2,-13.6,-13.2,-9.5,-8.7,-16.0,-8.3,-6.6
40m,7.100,2,Alaska,320.8,36.2,-9.8,-6.0,-7.2,-7.8,-27.3,-22.5,-21.9,-17.0,-6.8,-6.0,-2.3,-3.6,-32.1,-8.7,-8.3
40m,7.100,2,India,342.8,8.7,-16.7,-11.4,-13.3,-14.2,-26.0,-57.5,-60.2,-50.8,-12.5,-15.7,-21.0,-12.3,-14.3,-6.6,-6.5
40m,7.100,2,Novosibirsk,345.5,14.5,-12.2,-7.1,-8.9,-9.8,-20.7,-58.3,-62.5,-51.7,-8.1,-11.6,-15.5,-8.3,-16.2,-7.9,-6.9
20m,14.150,4,Moscow,11.7,10.0,-10.4,-4.6,-6.4,-7.2,-27.2,-42.4,-34.4,-36.0,-9.0,-8.7,-6.3,-6.9,-6.0,-25.7,-12.6
20m,14.150,4,Kyiv,17.4,10.0,-9.4,-5.3,-7.0,-7.8,-46.9,-33.4,-26.8,-27.0,-6.4,-9.1,-5.5,-9.1,-6.0,-23.2,-11.2
20m,14.150,4,Central Europe,30.5,10.0,-9.7,-4.8,-6.6,-7.4,-23.4,-20.6,-15.7,-14.2,-5.6,-13.4,-3.6,-19.3,-6.7,-19.0,-9.0
20m,14.150,4,United Kingdom,34.5,11.0,-9.9,-5.1,-6.8,-7.5,-17.9,-17.2,-12.6,-10.9,-5.7,-14.9,-2.7,-27.7,-6.9,-17.7,-8.5
20m,14.150,4,Iberia,43.6,10.0,-14.4,-9.5,-11.2,-12.0,-13.0,-13.7,-9.9,-7.3,-10.0,-22.7,-3.3,-66.2,-8.9,-16.1,-8.0
20m,14.150,4,South Africa,58.3,5.0,-31.5,-13.9,-15.8,-16.7,-18.0,-17.6,-15.1,-11.0,-26.5,-49.4,-10.0,-24.6,-22.2,-15.1,-8.4
20m,14.150,4,US Northeast,83.5,15.0,-5.1,-2.8,-4.1,-4.7,-21.1,-32.9,-48.8,-27.3,-121.4,-35.8,-21.5,-3.2,-24.6,-6.6,-7.3
20m,14.150,4,US Midwest,90.6,21.0,-3.1,-4.8,-5.4,-5.8,-26.6,-40.2,-24.5,-35.6,-46.5,-22.7,-8.4,-6.4,-18.1,-4.0,-7.2
20m,14.150,4,Caribbean,103.5,11.0,-11.2,-16.0,-17.5,-18.2,-59.0,-15.0,-9.9,-9.0,-23.2,-14.3,-3.8,-5.1,-31.7,-10.2,-7.7
20m,14.150,4,US Southeast,108.7,15.0,-12.5,-14.9,-16.1,-16.8,-99.1,-9.7,-5.8,-4.2,-16.2,-9.5,-1.6,-7.8,-36.5,-6.1,-6.5
20m,14.150,4,Denver,116.6,25.0,-9.8,-7.8,-8.0,-8.3,-53.9,-4.2,-1.7,-0.3,-8.3,-3.5,-3.6,-18.2,-39.3,-5.0,-6.3
20m,14.150,4,Dallas,118.9,25.0,-8.4,-6.3,-6.6,-6.9,-46.2,-4.1,-1.8,-0.1,-6.8,-2.9,-3.9,-19.2,-46.5,-4.8,-6.0
20m,14.150,4,South America,131.5,7.0,-13.1,-8.0,-9.8,-10.7,-33.6,-16.3,-14.4,-9.7,-9.1,-11.8,-6.7,-9.9,-9.5,-12.0,-9.5
20m,14.150,4,SoCal,166.9,30.0,-17.6,-7.2,-6.1,-6.2,-2.6,-38.9,-45.2,-36.6,-21.0,-19.3,-50.7,-24.3,-35.6,-9.2,-6.1
20m,14.150,4,New Zealand,226.8,7.0,-13.0,-8.7,-10.2,-10.9,-8.8,-9.4,-6.0,-3.5,-9.0,-22.8,-2.6,-9.8,-37.2,-27.8,-32.2
20m,14.150,4,Hawaii,240.2,15.0,-21.2,-3.0,-3.7,-4.2,-5.9,-5.4,-3.6,-0.7,-18.0,-42.0,-1.9,-15.5,-10.0,-13.4,-63.7
20m,14.150,4,Australia VK2,243.7,6.0,-18.3,-3.5,-5.0,-5.8,-10.7,-10.1,-8.4,-4.1,-24.8,-57.1,-2.4,-39.3,-18.0,-46.0,-22.3
20m,14.150,4,Australia VK6,268.2,5.0,-7.9,-6.7,-8.3,-9.1,-28.9,-93.4,-39.1,-87.2,-60.1,-30.8,-29.7,-10.2,-8.6,-48.2,-18.0
20m,14.150,4,Japan,300.8,10.0,-11.1,-6.8,-8.2,-8.9,-45.1,-8.1,-5.5,-2.3,-7.9,-6.0,-4.4,-3.7,-6.3,-63.7,-36.3
20m,14.150,4,Shanghai,309.5,8.0,-8.8,-4.2,-5.8,-6.5,-31.2,-10.7,-8.8,-4.6,-5.2,-6.8,-2.3,-3.1,-6.6,-65.4,-37.0
20m,14.150,4,Vladivostok,311.0,10.0,-7.4,-3.0,-4.5,-5.2,-28.3,-10.2,-8.4,-4.2,-3.9,-5.9,-1.9,-3.2,-7.0,-61.3,-50.7
20m,14.150,4,Beijing,318.1,9.0,-8.0,-3.3,-4.9,-5.7,-22.7,-14.8,-13.6,-8.6,-4.1,-9.6,-2.4,-3.2,-6.8,-64.5,-46.8
20m,14.150,4,Alaska,320.8,25.0,-2.0,-0.1,-0.2,-0.5,-14.1,-9.8,-9.4,-6.0,-0.0,-5.1,-4.8,-10.1,-11.8,-11.1,-12.6
20m,14.150,4,India,342.8,6.0,-27.0,-17.0,-18.9,-19.7,-16.2,-44.0,-46.8,-37.4,-21.6,-46.6,-11.6,-6.0,-7.0,-48.6,-49.3
20m,14.150,4,Novosibirsk,345.5,10.0,-27.3,-11.3,-13.0,-13.8,-11.6,-44.9,-49.1,-38.5,-22.6,-31.0,-7.0,-3.7,-6.8,-47.5,-27.4
15m,21.200,6,Moscow,11.7,8.8,-7.2,-12.4,-14.0,-14.7,-16.2,-34.4,-26.5,-28.3,-54.3,-11.9,-2.3,-46.5,-10.6,-17.4,-32.3
15m,21.200,6,Kyiv,17.4,8.8,-9.2,-19.3,-20.9,-21.6,-12.3,-25.5,-19.1,-19.4,-22.4,-7.8,-2.0,-36.8,-12.8,-19.1,-48.4
15m,21.200,6,Central Europe,30.5,8.8,-8.0,-3.4,-5.0,-5.7,-19.2,-13.4,-9.0,-7.4,-4.5,-7.4,-2.7,-11.1,-22.7,-24.8,-33.8
15m,21.200,6,United Kingdom,34.5,9.7,-6.3,-1.9,-3.4,-4.1,-27.5,-10.6,-6.7,-4.7,-2.7,-8.2,-3.8,-7.8,-25.8,-28.4,-25.1
15m,21.200,6,Iberia,43.6,8.8,-8.2,-3.7,-5.2,-6.0,-31.4,-9.2,-6.7,-3.2,-4.2,-15.2,-9.3,-5.8,-74.0,-34.8,-20.5
15m,21.200,6,South Africa,58.3,4.4,-17.0,-18.6,-20.4,-21.3,-16.1,-23.0,-25.2,-16.4,-18.8,-41.4,-42.0,-11.2,-13.9,-29.2,-22.8
15m,21.200,6,US Northeast,83.5,13.2,-9.9,-0.1,-0.7,-1.2,-13.5,-8.8,-5.3,-4.2,-114.4,-28.1,-6.4,-9.9,-9.1,-12.6,-5.1
15m,21.200,6,US Midwest,90.6,18.5,-2.4,-2.0,-1.0,-1.1,-18.9,-5.7,-5.3,-3.3,-40.8,-15.5,-24.8,-6.2,-11.0,-10.6,-6.1
15m,21.200,6,Caribbean,103.5,9.7,-5.1,-9.1,-10.2,-10.8,-50.8,-29.2,-50.9,-23.9,-15.9,-7.3,-37.1,-3.7,-10.2,-16.6,-8.6
15m,21.200,6,US Southeast,108.7,13.2,-5.8,-8.7,-9.3,-9.7,-91.1,-47.9,-24.2,-43.4,-9.6,-3.6,-14.3,-5.6,-9.0,-10.5,-6.1
15m,21.200,6,Denver,116.6,22.0,-3.7,-5.3,-3.4,-3.2,-46.2,-11.6,-5.9,-10.4,-4.4,-0.3,-10.6,-10.4,-8.5,-12.8,-7.7
15m,21.200,6,Dallas,118.9,22.0,-2.7,-4.1,-2.2,-2.1,-38.5,-8.5,-3.9,-7.2,-3.1,-0.6,-9.7,-11.3,-8.5,-12.9,-7.7
15m,21.200,6,South America,131.5,6.2,-10.1,-5.1,-6.9,-7.7,-25.7,-12.1,-9.3,-5.7,-5.9,-18.9,-3.7,-4.8,-48.7,-92.2,-44.7
15m,21.200,6,SoCal,166.9,26.4,-4.4,-10.8,-3.8,-2.8,-5.0,-31.5,-38.9,-34.7,-9.0,-5.6,-44.2,-13.6,-8.0,-6.7,-14.3
15m,21.200,6,New Zealand,226.8,6.2,-6.0,-2.8,-3.6,-4.2,-18.3,-5.7,-4.0,-0.8,-2.8,-14.8,-1.9,-22.7,-8.2,-9.1,-9.3
15m,21.200,6,Hawaii,240.2,13.2,-6.8,-14.0,-13.0,-13.1,-3.1,-13.5,-18.6,-11.1,-12.4,-34.5,-11.9,-15.0,-25.7,-17.8,-8.9
15m,21.200,6,Australia VK2,243.7,5.3,-14.0,-17.7,-18.7,-19.3,-6.0,-25.6,-39.5,-20.4,-17.2,-48.7,-16.7,-6.8,-14.3,-7.8,-13.8
15m,21.200,6,Australia VK6,268.2,4.4,-7.6,-1.4,-2.6,-3.3,-20.5,-9.9,-7.8,-4.3,-52.1,-22.4,-4.8,-24.4,-54.9,-10.3,-20.0
15m,21.200,6,Japan,300.8,8.8,-4.7,-1.5,-2.3,-2.9,-36.9,-9.9,-5.2,-5.0,-2.1,-3.7,-41.4,-15.6,-6.7,-7.0,-8.9
15m,21.200,6,Shanghai,309.5,7.0,-4.7,-0.8,-2.0,-2.7,-22.9,-7.0,-4.2,-1.5,-1.4,-11.1,-10.5,-8.7,-7.0,-9.3,-10.2
15m,21.200,6,Vladivostok,311.0,8.8,-4.0,-0.6,-1.6,-2.1,-20.1,-5.9,-3.4,-0.8,-0.9,-12.3,-10.7,-10.6,-6.0,-7.5,-8.4
15m,21.200,6,Beijing,318.1,7.9,-8.8,-4.6,-6.0,-6.7,-15.0,-8.6,-6.9,-2.9,-4.8,-36.5,-3.8,-6.3,-6.9,-11.1,-10.3
15m,21.200,6,Alaska,320.8,22.0,-6.2,-8.3,-6.0,-5.8,-7.2,-3.7,-3.5,-2.8,-6.0,-69.5,-23.2,-44.1,-7.5,-23.5,-17.5
15m,21.200,6,India,342.8,5.3,-19.4,-10.0,-11.8,-12.6,-14.9,-36.0,-38.7,-29.5,-16.4,-13.7,-6.2,-6.5,-9.1,-13.4,-10.6
15m,21.200,6,Novosibirsk,345.5,8.8,-12.4,-4.9,-6.5,-7.2,-12.3,-36.9,-41.2,-30.8,-9.3,-11.0,-2.7,-7.7,-7.0,-13.9,-12.2
10m,28.500,8,Moscow,11.7,8.0,-9.5,-7.0,-8.3,-9.0,-15.4,-28.9,-21.1,-23.1,-6.9,-39.2,-1.4,-11.2,-39.0,-19.0,-10.9
10m,28.500,8,Kyiv,17.4,8.0,-19.4,-11.4,-12.7,-13.4,-33.5,-20.0,-13.9,-14.3,-16.3,-14.8,-2.0,-7.7,-81.0,-16.5,-11.5
10m,28.500,8,Central Europe,30.5,8.0,-13.7,-7.5,-8.8,-9.5,-12.8,-9.1,-5.4,-3.4,-11.6,-4.9,-7.6,-9.1,-20.9,-13.1,-16.5
10m,28.500,8,United Kingdom,34.5,8.8,-8.0,-4.1,-5.3,-5.9,-10.3,-7.1,-4.2,-1.6,-5.4,-4.6,-13.4,-14.5,-18.1,-10.8,-20.4
10m,28.500,8,Iberia,43.6,8.0,-5.4,-1.2,-2.6,-3.3,-19.9,-9.3,-9.0,-3.6,-1.9,-10.2,-54.9,-47.3,-11.1,-12.2,-27.6
10m,28.500,8,South Africa,58.3,4.0,-18.5,-10.7,-12.5,-13.3,-21.7,-78.8,-33.5,-72.3,-13.6,-35.7,-12.9,-15.8,-15.3,-14.3,-26.3
10m,28.500,8,US Northeast,83.5,12.0,-63.2,-2.7,-2.4,-2.6,-8.6,-19.9,-35.9,-16.6,-110.1,-22.9,-20.4,-46.3,-23.2,-36.0,-14.2
10m,28.500,8,US Midwest,90.6,16.8,-10.0,-4.7,-0.8,-0.3,-13.8,-27.3,-13.5,-28.0,-38.7,-11.1,-11.5,-9.4,-19.1,-28.2,-10.0
10m,28.500,8,Caribbean,103.5,8.8,-2.6,-5.3,-5.8,-6.2,-45.2,-8.1,-7.1,-3.7,-11.3,-3.3,-9.8,-8.5,-16.4,-27.9,-25.6
10m,28.500,8,US Southeast,108.7,12.0,-2.2,-5.7,-5.3,-5.5,-85.6,-10.3,-13.6,-7.2,-6.0,-1.1,-27.8,-6.9,-17.1,-58.0,-20.4
10m,28.500,8,Denver,116.6,20.0,-0.9,-9.9,-2.8,-1.7,-41.2,-38.2,-35.6,-41.4,-5.2,-2.4,-16.9,-4.8,-35.0,-17.2,-10.7
10m,28.500,8,Dallas,118.9,20.0,-0.3,-8.6,-2.0,-1.0,-33.5,-47.0,-20.3,-49.9,-4.2,-4.4,-13.4,-5.4,-28.9,-18.5,-12.1
10m,28.500,8,South America,131.5,5.6,-12.9,-8.2,-9.8,-10.6,-20.3,-12.7,-8.2,-6.4,-8.2,-43.7,-6.4,-3.4,-14.0,-17.1,-15.0
10m,28.500,8,SoCal,166.9,24.0,-8.0,-99.2,-8.5,-4.5,-24.2,-26.8,-35.7,-49.0,-34.4,-11.0,-34.9,-10.7,-30.6,-29.9,-27.9
10m,28.500,8,New Zealand,226.8,5.6,-2.3,-0.7,-0.6,-0.9,-27.2,-7.9,-9.9,-4.4,-0.3,-9.6,-9.2,-10.2,-35.1,-19.2,-17.1
10m,28.500,8,Hawaii,240.2,12.0,-9.5,-12.0,-7.6,-6.9,-6.7,-31.3,-15.6,-32.6,-11.1,-29.9,-41.6,-10.1,-9.5,-13.6,-34.5
10m,28.500,8,Australia VK2,243.7,4.8,-7.3,-12.6,-12.8,-13.1,-6.2,-18.1,-9.7,-14.1,-12.6,-43.1,-21.0,-40.5,-11.6,-42.1,-10.6
10m,28.500,8,Australia VK6,268.2,4.0,-18.9,-0.3,-1.1,-1.6,-14.7,-78.8,-25.1,-74.1,-47.0,-16.7,-22.1,-8.5,-11.9,-25.9,-9.1
10m,28.500,8,Japan,300.8,8.0,-1.9,-0.1,-0.2,-0.5,-31.1,-29.5,-15.2,-25.8,-0.1,-8.3,-12.0,-41.3,-17.6,-44.4,-18.2
10m,28.500,8,Shanghai,309.5,6.4,-5.8,-3.0,-3.6,-4.1,-17.2,-8.9,-4.1,-4.3,-2.6,-59.5,-49.3,-33.0,-16.0,-31.3,-19.5
10m,28.500,8,Vladivostok,311.0,8.0,-6.5,-4.3,-4.6,-5.0,-14.6,-6.8,-2.7,-2.7,-3.6,-44.7,-53.0,-43.1,-12.7,-46.8,-25.5
10m,28.500,8,Beijing,318.1,7.2,-23.1,-19.6,-20.6,-21.2,-9.9,-5.9,-3.5,-0.8,-17.3,-12.2,-14.6,-20.3,-14.8,-30.5,-25.3
10m,28.500,8,Alaska,320.8,20.0,-37.1,-37.9,-29.7,-28.4,-3.1,-0.9,-0.9,-4.9,-34.6,-5.5,-35.3,-13.9,-5.2,-10.2,-12.5
10m,28.500,8,India,342.8,4.8,-15.7,-5.8,-7.6,-8.4,-22.1,-30.4,-33.1,-24.0,-10.9,-33.1,-3.5,-14.5,-23.3,-33.9,-56.7
10m,28.500,8,Novosibirsk,345.5,8.0,-14.3,-1.7,-3.1,-3.7,-25.5,-31.3,-35.7,-25.6,-11.1,-18.4,-1.3,-26.3,-15.7,-63.7,-23.7
