"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact/Talk Group","Contact/Talk Group Call Type","Contact/Talk Group TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","RX Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Digital Duplex","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Idle TX","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana APRS Mute","Send Talker Alias DMR/NX","AnaAprsTxPath","ARC4","ex_emg_kind","Rpga_Mdc","DisturEn","DisturFreq","dmr_crc_ignore","compand","tx_talkalaes","dup_call","tx_int","BtRxState","idle_tx","nxdn_wn","NxdnRpga","nxdnSqCon","NxdnTxBusy","NxDnPttId","EnRan","DeRan","NxdnEncry","NxdnGroupId","NxdnIdNum","NxdnStateNum","txcc"
"14","WB7DVN Eldon","146.45000","147.45000","A-Analog","High","12.5K","Off","D245N","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"15","KC7Z Gold Mtn","146.62000","146.02000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"16","W7AAO Edgewood","146.64000","146.04000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"17","NC7G Seatac","146.66000","146.06000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"18","AE7TH Vashon","146.68750","146.08750","A-Analog","High","12.5K","Off","131.8","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"19","W7EAT Eatonville","146.70000","146.10000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"20","WA7FW FED Way","146.76000","146.16000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"21","WA7DEM Lynnwood","146.77500","146.17500","A-Analog","High","12.5K","Off","156.7","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"22","WW7CH Ashford","146.78000","146.18000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"23","KC7CKO Lacey","146.78750","146.18750","A-Analog","High","12.5K","Off","110.9","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"24","K7LED Tgr Mtn E","146.82000","146.22000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"25","WW7MST Seattle","146.90000","146.30000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"26","WA7DEM Grnt Flls","146.92500","146.32500","A-Analog","High","12.5K","Off","156.7","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"27","K7HW Unvrsty Plc","146.93750","146.33750","A-Analog","High","12.5K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"28","WW7PSR Seattle","146.96000","146.36000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"29","W7DX Redmond","147.00000","146.40000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"30","WA7FW FED Way2","147.04000","147.64000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"31","WW7STR Cgr Mtn","147.08000","147.68000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"32","WW7STR Tgr Mtn E","147.08000","147.68000","A-Analog","High","25K","Off","110.9","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"33","KC7RAS Cgr Mtn","147.10000","147.70000","A-Analog","High","12.5K","Off","123.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"34","KH6VM Everett","147.12000","147.72000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"35","WB7DOB Baldi Mtn","147.14000","147.74000","A-Analog","High","25K","Off","123.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36","W7MIR Mrcr Islnd","147.16000","147.76000","A-Analog","High","12.5K","Off","146.2","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"37","WA7LAW Everett","147.18000","147.78000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"38","W7NEE Shelton","147.20000","147.80000","A-Analog","High","25K","Off","97.4","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"39","W7AVM Clinton","147.22000","147.82000","A-Analog","High","25K","Off","127.3","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"40","K7SYE Auburn","147.24000","147.84000","A-Analog","High","25K","Off","123.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"41","KF7NPL Mpl Vlly","147.26000","147.86000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"42","W7DK Tacoma2","147.28000","147.88000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"43","WB7DOB Thr Sstrs","147.30000","147.90000","A-Analog","High","25K","Off","88.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"44","N7RHE Kent","147.32000","147.92000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"45","K6RFK Wdnvll","147.34000","147.94000","A-Analog","High","25K","Off","100.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"46","K6RFK Wdnvll2","147.35000","147.95000","A-Analog","High","12.5K","Off","97.4","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"47","NT7H Olympia","147.36000","147.96000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"48","W7PIG Cmn Islnd","147.36000","147.96000","A-Analog","High","25K","Off","127.3","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"49","WA7COM Mrysvll","147.38000","147.98000","A-Analog","High","12.5K","Off","156.7","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 2m","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"50","W7AVM Coupeville","430.77500","439.77500","A-Analog","High","25K","Off","127.3","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"51","N7OEP Baldi Mtn","440.07500","445.07500","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"52","W7MIR Mrcr Isln2","440.15000","445.15000","A-Analog","High","12.5K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"53","WA7ACS Everett","440.17500","445.17500","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"54","N7ERP Cougar Mtn","440.25000","445.25000","A-Analog","High","25K","Off","123.0","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"55","W7AUX Shoreline","440.30000","445.30000","A-Analog","High","25K","Off","103.5","Simplex 99","Group Call","99","WA7DAM","Off","Carrier","Off","1","1","1","Off","1","1","Ham 70cm 01","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
