rank,configuration,configuration_label,family,family_label,kind,measurement_context,score,usable_bands,excellent_bands,6m__efficiency,fm-broadcast__efficiency,civil-air__efficiency,2m__efficiency,vhf-lmr__efficiency,marine-vhf__efficiency,railroad__efficiency,noaa-weather__efficiency,1.25m__efficiency,military-air__efficiency,federal-uhf__efficiency,70cm__efficiency,uhf-lmr__efficiency,t-band__efficiency,700-public-safety-downlink__efficiency,800-public-safety-downlink__efficiency,33cm__efficiency,900-trunking-downlink__efficiency,uat-978__efficiency,ads-b-1090__efficiency,6m__median_swr,fm-broadcast__median_swr,civil-air__median_swr,2m__median_swr,vhf-lmr__median_swr,marine-vhf__median_swr,railroad__median_swr,noaa-weather__median_swr,1.25m__median_swr,military-air__median_swr,federal-uhf__median_swr,70cm__median_swr,uhf-lmr__median_swr,t-band__median_swr,700-public-safety-downlink__median_swr,800-public-safety-downlink__median_swr,33cm__median_swr,900-trunking-downlink__median_swr,uat-978__median_swr,ads-b-1090__median_swr
11,signal-stick,no counterpoise,signal-stick,Signal Stick (no counterpoise),fixed,handheld_bench,0.460997,1,0,0.050119,0.303922,0.671296,0.458759,0.648588,0.570275,0.619115,0.678609,0.289489,0.306603,0.779873,0.546042,0.426978,0.340542,0.404628,0.285532,0.387278,0.447886,0.545035,0.459371,78.3005,14.4632,3.9226,6.5358,3.8440,4.7974,4.2198,3.6264,11.6912,16.0741,2.7624,5.2770,7.2453,9.9790,7.7634,11.9264,8.1734,6.7814,5.1479,6.5476
12,anytone-atd890uv-38cm,SMA adapter plane,anytone-atd890uv-38cm,AnyTone AT-D890UV OEM long whip,fixed,handheld_sma,0.454856,6,3,0.005385,0.313669,0.408562,0.669482,0.842491,0.839034,0.949573,0.973594,0.755013,0.653987,0.946676,0.731560,0.526818,0.372077,0.071322,0.037877,0.000000,0.000000,0.000000,0.000000,755.1068,14.9483,8.2562,3.7129,2.0945,2.3117,1.5320,1.3873,2.9839,4.1243,1.5643,3.2653,5.4734,8.7645,54.0885,105.1456,,,,
13,tid-td771,with SMA-to-BNC adapter,tid-td771,TID TD771,fixed,handheld_bench,0.452395,1,1,0.000000,0.186330,0.466278,0.462877,0.314355,0.308655,0.301740,0.302208,0.986118,0.313850,0.744518,0.660647,0.221712,0.048276,0.431347,0.576678,0.627522,0.655516,0.692437,0.746836,,19.4146,6.3192,6.4766,11.1449,10.9663,11.1697,11.1521,1.2640,16.8283,2.9426,3.5932,17.2399,33.5888,7.1216,4.7285,4.1413,3.8382,3.4884,3.0164
14,diamond-srh320a,with BNC-to-SMA adapter,diamond-srh320a,Diamond SRH320A,fixed,handheld_bench,0.445384,7,3,0.020422,0.050667,0.268683,0.820027,0.853574,0.930236,0.875395,0.805723,0.968076,0.510936,0.965956,0.606018,0.362497,0.255449,0.203382,0.199486,0.140801,0.070358,0.000000,0.000000,196.5022,78.4013,13.3266,2.4563,2.4614,1.6386,2.0889,2.5775,1.4423,7.1944,1.3029,4.7096,8.9861,13.6602,17.6124,18.0065,26.3941,54.5650,,
15,signal-stick-counterpoise,with ~19.5 in counterpoise,signal-stick-counterpoise,Signal Stick with counterpoise,fixed,handheld_bench,0.440580,2,1,0.045139,0.224595,0.732956,0.928425,0.429710,0.465744,0.401888,0.345979,0.224582,0.300960,0.785029,0.661000,0.489924,0.357017,0.393342,0.275727,0.393723,0.433680,0.539533,0.382651,87.5127,20.5162,3.5907,1.6953,8.9321,6.5093,7.8842,9.4763,15.7514,17.0502,2.7584,3.7757,6.0775,9.2662,8.0568,12.4044,8.0274,7.0799,5.2292,8.3249
16,uniden-sds150-stock:sma-direct,bare SMA plane,uniden-sds150-stock,Uniden SDS150 stock rubber duck,fixed,handheld_bench,0.439624,0,0,0.016175,0.071894,0.391529,0.368344,0.509735,0.434932,0.474305,0.542707,0.055279,0.236764,0.679423,0.445041,0.534997,0.735502,0.532259,0.564592,0.622328,0.584158,0.533663,0.458860,245.0611,58.8933,7.2401,8.6985,6.3769,7.1492,6.3048,5.1668,70.3024,22.9519,3.5218,7.3932,5.2705,2.9427,5.3692,4.8234,4.2100,4.6283,5.3089,6.5636
17,anytone-atd890uv-16cm,SMA adapter plane,anytone-atd890uv-16cm,AnyTone AT-D890UV OEM rubber duck,fixed,handheld_sma,0.407742,2,1,0.002773,0.025025,0.405159,0.676148,0.573068,0.743560,0.584496,0.460477,0.147090,0.427237,0.893430,0.763255,0.581223,0.436850,0.192663,0.262025,0.293311,0.278202,0.248819,0.160025,1430.8428,204.3097,7.9475,3.6208,4.4904,2.8644,4.4011,6.5565,24.7132,9.5471,1.9582,2.9029,4.7509,7.1644,18.7088,13.1652,11.5446,12.2937,14.0070,22.9487
18,uniden-sds150-stock,stock with adapter,uniden-sds150-stock,Uniden SDS150 stock rubber duck,fixed,handheld_bench,0.407185,5,1,0.000004,0.476563,0.031602,0.016001,0.254529,0.061703,0.090093,0.141949,0.000000,0.067372,0.894994,0.757544,0.852222,0.613319,0.357572,0.508824,0.676496,0.728216,0.811688,0.803004,33727.4810,6.5665,143.6791,238.0482,29.1537,69.6693,42.7558,25.9566,,37.0591,1.8780,3.2147,2.1201,4.6208,9.0797,5.7191,3.6256,3.1761,2.5324,2.5961
19,icom-id52a-stock,bare SMA plane,icom-id52a-stock,Icom ID-52A OEM antenna,fixed,handheld_sma,0.404840,3,0,0.020932,0.089131,0.534071,0.589090,0.211191,0.195581,0.125751,0.091422,0.085508,0.238835,0.665355,0.811830,0.849352,0.772663,0.354767,0.331195,0.453942,0.496127,0.545114,0.634933,188.2572,47.4769,4.9552,4.5168,41.6203,19.0138,30.1264,41.7847,44.5958,18.8908,3.7288,2.5038,2.2620,2.8258,9.1555,9.9632,6.6609,5.8910,5.1416,4.0522
20,diamond-srh77ca,with BNC adapter,diamond-srh77ca,Diamond SRH77CA,fixed,handheld_bench,0.381787,3,1,0.009523,0.380102,0.049468,0.048853,0.072341,0.051063,0.057828,0.068909,0.972622,0.375230,0.783335,0.868544,0.595553,0.461221,0.106889,0.254545,0.546008,0.586657,0.614930,0.732127,437.1169,10.9269,81.6145,79.9152,59.5046,78.0525,66.7815,56.2886,1.3951,10.9097,2.6934,1.8581,4.5873,6.5803,35.6678,13.6973,5.1355,4.5869,4.2768,3.1495
21,remtronix-920,BNC direct,remtronix-920,Remtronix 920,fixed,handheld_bench,0.377897,5,4,0.000000,0.212867,0.078907,0.023259,0.000022,0.000000,0.000000,0.000000,0.167103,0.605247,0.349762,0.348013,0.300309,0.210779,0.922142,0.992646,0.927314,0.890366,0.780190,0.749010,,43.0833,60.4754,161.5328,211.8195,,,,21.8336,4.4584,9.3327,9.2170,11.2297,17.0695,1.7739,1.1718,1.7500,1.9912,2.7646,3.0104
22,rh789:setting-5,setting 5,rh789,RH789 telescopic,telescopic,handheld_bench,0.325901,3,0,0.034486,0.195434,0.108034,0.329438,0.667863,0.827987,0.861362,0.830784,0.001833,0.346714,0.224731,0.199604,0.281368,0.646443,0.079953,0.000000,0.004875,0.081827,0.357921,0.437368,131.9604,20.4106,37.5465,9.8905,3.5883,2.3474,2.1835,2.3971,1751.6387,5.7316,15.7622,17.8475,12.1809,3.8594,48.0679,,118.5175,44.6797,9.1126,6.9712
23,tidradio-h9-stock,SMA adapter plane,tidradio-h9-stock,TIDRADIO TD-H9 stock antenna,fixed,handheld_sma,0.307622,3,2,0.005706,0.039117,0.116641,0.125791,0.103556,0.108071,0.093529,0.084485,0.109642,0.425191,0.945232,0.913101,0.823762,0.704845,0.334717,0.253211,0.236537,0.225087,0.214007,0.290200,685.6808,106.2409,34.0004,29.7407,37.0814,36.3203,40.7796,44.7549,34.5296,9.0754,1.6145,1.7856,2.4666,3.2822,9.8459,13.7204,14.8319,15.6960,16.5958,11.6961
24,kenwood-thd75a-stock,bare SMA plane,kenwood-thd75a-stock,Kenwood TH-D75A OEM antenna,fixed,handheld_sma,0.300688,2,2,0.019990,0.135411,0.537265,0.153610,0.063084,0.055564,0.053466,0.054824,0.401891,0.220776,0.890776,0.929125,0.740843,0.658580,0.137977,0.135689,0.154268,0.158882,0.192316,0.319413,197.4913,35.2470,5.5188,24.3074,65.6004,71.0493,72.7108,71.9032,8.0708,27.8749,1.9721,1.6553,3.1410,3.6668,26.9690,27.4598,23.9811,23.1569,18.7330,10.3954
