band,frequency_hz,frequency_mhz,swr,return_loss_db,resistance_ohm,reactance_ohm,s11_real,s11_imag,phase_deg
6m,52648360,52.648360,8.05358970,2.16821230,16.39518135,-62.72949261,0.2042104809,-0.7518538506,-74.80451995
6m,52652015,52.652015,8.05226981,2.16857141,16.37764551,-62.66840979,0.2034671142,-0.7520219936,-74.86052048
6m,52655670,52.655670,8.05381229,2.16815176,16.35619300,-62.61392441,0.2027991337,-0.7522413889,-74.91215342
6m,52659325,52.659325,8.05282762,2.16841963,16.33909587,-62.55621080,0.2020945643,-0.7524061034,-74.96533681
6m,52662980,52.662980,8.05242136,2.16853017,16.32299373,-62.50516468,0.2014699315,-0.7525633363,-75.01270214
6m,52666635,52.666635,8.05137936,2.16881375,16.30707983,-62.45055884,0.2008018760,-0.7527155411,-75.06305894
6m,52670290,52.670290,8.04974871,2.16925767,16.29213496,-62.39505194,0.2001228597,-0.7528551576,-75.11396025
6m,52673945,52.673945,8.05167309,2.16873380,16.26715300,-62.33206929,0.1993454629,-0.7531099773,-75.17403038
6m,52677600,52.677600,8.05220194,2.16858988,16.24868330,-62.27969297,0.1986997785,-0.7532939416,-75.22339819
6m,52681255,52.681255,8.04527171,2.17047741,16.24130147,-62.21287023,0.1978870900,-0.7533328192,-75.28193250
6m,52684910,52.684910,8.04853755,2.16958751,16.21847653,-62.16482984,0.1972888187,-0.7535722144,-75.32896704
6m,52688565,52.688565,8.04828632,2.16965594,16.19907890,-62.10449193,0.1965434968,-0.7537606073,-75.38551050
6m,52692220,52.692220,8.04874020,2.16953231,16.17966565,-62.04857156,0.1958506923,-0.7539523715,-75.43837835
6m,52695875,52.695875,8.05071328,2.16899505,16.15766191,-61.99447059,0.1951770104,-0.7541768211,-75.49048532
6m,52699530,52.699530,8.04900431,2.16946038,16.14141884,-61.93417271,0.1944317040,-0.7543262126,-75.54630882
6m,52703185,52.703185,8.05075201,2.16898451,16.12163169,-61.88522389,0.1938206293,-0.7545275211,-75.59352528
6m,52706840,52.706840,8.05120804,2.16886038,16.10509942,-61.83783416,0.1932304416,-0.7546903732,-75.63854691
6m,52710495,52.710495,8.04914598,2.16942180,16.08806620,-61.77273083,0.1924232438,-0.7548446256,-75.69887664
6m,52714150,52.714150,8.04990462,2.16921521,16.06867746,-61.71847605,0.1917453610,-0.7550362214,-75.75067089
6m,52717805,52.717805,8.04850743,2.16959571,16.05271725,-61.66081234,0.1910278282,-0.7551828805,-75.80447929
6m,52721460,52.721460,8.04958469,2.16930233,16.03273403,-61.60666603,0.1903489877,-0.7553814066,-75.85646480
6m,52725115,52.725115,8.04585325,2.17031889,16.02231121,-61.55089383,0.1896575554,-0.7554613108,-75.90722065
6m,52728770,52.728770,8.05037091,2.16908826,15.99522291,-61.49692134,0.1889729617,-0.7557466099,-75.96116576
6m,52732425,52.732425,8.04719715,2.16995266,15.98196461,-61.43597683,0.1882139086,-0.7558561162,-76.01728525
6m,52736080,52.736080,8.04837091,2.16963289,15.96126679,-61.38001386,0.1875085128,-0.7560609607,-76.07127294
6m,52739735,52.739735,8.04894336,2.16947698,15.94374198,-61.32987329,0.1868766042,-0.7562318020,-76.11940941
6m,52743390,52.743390,8.04872697,2.16953591,15.92442357,-61.26911717,0.1861116301,-0.7564149854,-76.17726466
6m,52747045,52.747045,8.04908030,2.16943968,15.90638237,-61.21587330,0.1854393484,-0.7565889652,-76.22833766
6m,52750700,52.750700,8.04831159,2.16964905,15.89124746,-61.16435170,0.1847901451,-0.7567284609,-76.27715882
6m,52754355,52.754355,8.04555862,2.17039920,15.87969883,-61.11115833,0.1841228730,-0.7568218612,-76.32647218
6m,52758010,52.758010,8.04673307,2.17007911,15.85823286,-61.05246204,0.1833775398,-0.7570323343,-76.38340292
6m,52761665,52.761665,8.04549635,2.17041617,15.84338689,-60.99872029,0.1826987428,-0.7571653454,-76.43423543
6m,52765320,52.765320,8.04490005,2.17057872,15.82732554,-60.94527924,0.1820217053,-0.7573133979,-76.48520459
6m,52768975,52.768975,8.04574028,2.17034968,15.80760539,-60.88965303,0.1813132178,-0.7575044528,-76.53916198
6m,52772630,52.772630,8.04265920,2.17118981,15.79469902,-60.83000749,0.1805605177,-0.7576067767,-76.59476690
6m,52776285,52.776285,8.04198184,2.17137459,15.77868622,-60.77606802,0.1798747597,-0.7577528566,-76.64633402
6m,52779940,52.779940,8.04694937,2.17002017,15.75353155,-60.72976945,0.1792741714,-0.7580199752,-76.69385506
6m,52783595,52.783595,8.04408743,2.17080029,15.74009164,-60.66975839,0.1785137049,-0.7581275565,-76.75011730
6m,52787250,52.787250,8.04216176,2.17132551,15.72626840,-60.61450396,0.1778112159,-0.7582442534,-76.80238997
6m,52790905,52.790905,8.04482189,2.17060003,15.70466616,-60.56428703,0.1771628435,-0.7584628099,-76.85249638
6m,52794560,52.794560,8.04417501,2.17077641,15.68762415,-60.50708531,0.1764310408,-0.7586171357,-76.90750141
6m,52798215,52.798215,8.04580282,2.17033263,15.66816296,-60.45680034,0.1757823044,-0.7588085674,-76.95717154
6m,52801870,52.801870,8.04398619,2.17082789,15.65320762,-60.39854277,0.1750376386,-0.7589351118,-77.01263960
6m,52805525,52.805525,8.04291724,2.17111942,15.63966765,-60.34943879,0.1744082649,-0.7590531712,-77.05970776
6m,52809180,52.809180,8.04097697,2.17164878,15.62602636,-60.29442908,0.1737040121,-0.7591659530,-77.11206242
6m,52812835,52.812835,8.04103772,2.17163220,15.60850885,-60.24002149,0.1730023322,-0.7593276871,-77.16503894
6m,52816490,52.816490,8.04170677,2.17144964,15.58928095,-60.18407860,0.1722786113,-0.7595089989,-77.21991522
6m,52820145,52.820145,8.04008555,2.17189207,15.57369845,-60.12490034,0.1715171888,-0.7596406431,-77.27668990
6m,52823800,52.823800,8.04221757,2.17131028,15.55391715,-60.07642314,0.1708849945,-0.7598365754,-77.32523171
6m,52827455,52.827455,8.04127505,2.17156744,15.53579853,-60.01350485,0.1700717172,-0.7599953940,-77.38617024
6m,52831110,52.831110,8.04175312,2.17143700,15.51969347,-59.96591322,0.1694531025,-0.7601455462,-77.43299496
6m,52834765,52.834765,8.04140584,2.17153175,15.50317397,-59.91171167,0.1687497802,-0.7602932878,-77.48586351
6m,52838420,52.838420,8.04399792,2.17082470,15.48143330,-59.85971772,0.1680675803,-0.7605093122,-77.53829982
6m,52842075,52.842075,8.04289617,2.17112517,15.46813707,-59.81076824,0.1674327174,-0.7606217469,-77.58568886
6m,52845730,52.845730,8.04199371,2.17137136,15.45257886,-59.75591358,0.1667196941,-0.7607557535,-77.63903775
6m,52849385,52.849385,8.04078480,2.17170123,15.43864934,-59.70421328,0.1660477304,-0.7608724304,-77.68916647
6m,52853040,52.853040,8.03993528,2.17193309,15.42285583,-59.64887014,0.1653265391,-0.7610081866,-77.74313627
6m,52856695,52.856695,8.03963296,2.17201562,15.40753017,-59.59844574,0.1646675611,-0.7611434785,-77.79262784
6m,52860350,52.860350,8.03971789,2.17199243,15.38976777,-59.54271980,0.1639374327,-0.7613031960,-77.84761617
6m,52864005,52.864005,8.03917054,2.17214186,15.37402912,-59.48933370,0.1632386154,-0.7614396406,-77.89999275
6m,52867660,52.867660,8.03945315,2.17206471,15.35583370,-59.43337974,0.1625032186,-0.7616039981,-77.95543177
6m,52871315,52.871315,8.04033584,2.17182376,15.33669831,-59.37818986,0.1617754700,-0.7617809986,-78.01051256
6m,52874970,52.874970,8.04012744,2.17188064,15.32052516,-59.32542148,0.1610813722,-0.7619228576,-78.06263332
6m,52878625,52.878625,8.03859868,2.17229800,15.30716430,-59.27316981,0.1603965424,-0.7620290798,-78.11354742
6m,52882280,52.882280,8.03858031,2.17230302,15.29124514,-59.22233131,0.1597258395,-0.7621694857,-78.16396493
6m,52885935,52.885935,8.03946592,2.17206122,15.27361238,-59.17172079,0.1590551139,-0.7623318854,-78.21471460
6m,52889590,52.889590,8.03886289,2.17222586,15.25710081,-59.11517438,0.1583088143,-0.7624721387,-78.27057422
6m,52893245,52.893245,8.04069932,2.17172456,15.23757646,-59.06443603,0.1576323350,-0.7626581759,-78.32208691
6m,52896900,52.896900,8.03755398,2.17258331,15.22827661,-59.01471332,0.1569812440,-0.7627138533,-78.36983089
6m,52900555,52.900555,8.03914216,2.17214961,15.21045129,-58.96773383,0.1563537563,-0.7628824239,-78.41755072
6m,52904210,52.904210,8.03806506,2.17244372,15.19404818,-58.90833037,0.1555673130,-0.7630162735,-78.47621425
6m,52907865,52.907865,8.03729261,2.17265469,15.17936962,-58.85634518,0.1548778066,-0.7631372292,-78.52770290
6m,52911520,52.911520,8.03772622,2.17253626,15.16291774,-58.80627880,0.1542099223,-0.7632833034,-78.57800055
6m,52915175,52.915175,8.03409648,2.17352807,15.15247829,-58.74969871,0.1534651153,-0.7633427113,-78.63258868
6m,52918830,52.918830,8.03630404,2.17292476,15.13168223,-58.69683060,0.1527535303,-0.7635405814,-78.68679079
6m,52922485,52.922485,8.03653933,2.17286047,15.11487427,-58.64420778,0.1520495966,-0.7636869487,-78.73969325
6m,52926140,52.926140,8.03608019,2.17298592,15.09993845,-58.59316144,0.1513678016,-0.7638109127,-78.79067654
6m,52929795,52.929795,8.03737184,2.17263306,15.08118666,-58.54085922,0.1506636697,-0.7639823594,-78.84394984
6m,52933450,52.933450,8.03482264,2.17332958,15.07061752,-58.49056818,0.1499961209,-0.7640500697,-78.89310722
6m,52937105,52.937105,8.03846533,2.17233442,15.04769573,-58.43957510,0.1493015114,-0.7642770071,-78.94647348
6m,52940760,52.940760,8.03632741,2.17291837,15.03645995,-58.38967111,0.1486365660,-0.7643532712,-78.99556938
6m,52944415,52.944415,8.03626891,2.17293435,15.02057297,-58.33785615,0.1479394544,-0.7644870427,-79.04779970
6m,52948070,52.948070,8.03808170,2.17243918,15.00038059,-58.28388312,0.1472072346,-0.7646735821,-79.10330092
6m,52951725,52.951725,8.03579431,2.17306403,14.98986163,-58.23526086,0.1465577802,-0.7647412851,-79.15116964
6m,52955380,52.955380,8.03645881,2.17288247,14.97298461,-58.18466327,0.1458726844,-0.7648888310,-79.20272225
6m,52959035,52.959035,8.03410531,2.17352566,14.96057434,-58.12941908,0.1451324978,-0.7649709351,-79.25735764
6m,52962690,52.962690,8.03311734,2.17379577,14.94786736,-58.08182936,0.1444912363,-0.7650676774,-79.30504735
6m,52966345,52.966345,8.03586659,2.17304428,14.92533119,-58.02585604,0.1437249491,-0.7652805450,-79.36336007
6m,52970000,52.970000,8.03530250,2.17319843,14.90944321,-57.97048770,0.1429753948,-0.7654068788,-79.41928335
6m,52973655,52.973655,8.03657698,2.17285019,14.89238724,-57.92289200,0.1423252385,-0.7655597937,-79.46837508
6m,52977310,52.977310,8.03615204,2.17296629,14.87740091,-57.87124653,0.1416242141,-0.7656792046,-79.52069481
6m,52980965,52.980965,8.03307927,2.17380618,14.86756394,-57.81964336,0.1409307398,-0.7657305936,-79.57156353
6m,52984620,52.984620,8.03513351,2.17324461,14.84778565,-57.76792503,0.1402198667,-0.7659122633,-79.62542826
6m,52988275,52.988275,8.03593199,2.17302641,14.83136577,-57.71918638,0.1395525213,-0.7660540205,-79.67560876
6m,52991930,52.991930,8.03629086,2.17292836,14.81541246,-57.66914181,0.1388678935,-0.7661873569,-79.72692747
6m,52995585,52.995585,8.03324910,2.17375974,14.80576623,-57.61825004,0.1381810911,-0.7662357885,-79.77729369
6m,52999240,52.999240,8.03539684,2.17317265,14.78828692,-57.57442066,0.1375746957,-0.7663983664,-79.82332929
6m,53002895,53.002895,8.03278565,2.17388647,14.77655549,-57.51934534,0.1368278760,-0.7664670513,-79.87831594
6m,53006550,53.006550,8.03256922,2.17394566,14.75990756,-57.46320098,0.1360582568,-0.7665986549,-79.93577292
6m,53010205,53.010205,8.03504011,2.17327014,14.73962628,-57.41200886,0.1353475215,-0.7667859487,-79.98967567
6m,53013860,53.013860,8.03346906,2.17369960,14.72738071,-57.36170124,0.1346605218,-0.7668678089,-80.04050817
6m,53017515,53.017515,8.03466225,2.17337342,14.70937662,-57.30981491,0.1339425022,-0.7670232275,-80.09452564
6m,53021170,53.021170,8.03311620,2.17379608,14.69867838,-57.26470509,0.1333255912,-0.7670922447,-80.14012040
6m,53024825,53.024825,8.03710795,2.17270514,14.67568170,-57.21386012,0.1326116431,-0.7673152384,-80.19468622
6m,53028480,53.028480,8.03498217,2.17328598,14.66345065,-57.15994230,0.1318735117,-0.7673896070,-80.24913985
6m,53032135,53.032135,8.03490952,2.17330583,14.64996072,-57.11478386,0.1312492832,-0.7674948116,-80.29572111
6m,53035790,53.035790,8.03418128,2.17350489,14.63619796,-57.06454372,0.1305561338,-0.7675949248,-80.34723947
6m,53039445,53.039445,8.03292887,2.17384731,14.62361878,-57.01488583,0.1298719821,-0.7676798442,-80.39792080
6m,53043100,53.043100,8.03230223,2.17401868,14.60951178,-56.96406856,0.1291690188,-0.7677828598,-80.45019222
6m,53046755,53.046755,8.03228425,2.17402359,14.59337578,-56.91030228,0.1284223435,-0.7679076575,-80.50590287
6m,53050410,53.050410,8.03043434,2.17452965,14.58117678,-56.85802839,0.1277014876,-0.7679818805,-80.55912872
6m,53054065,53.054065,8.03187804,2.17413470,14.56505667,-56.81344358,0.1270762100,-0.7681214739,-80.60620583
6m,53057720,53.057720,8.03130935,2.17429026,14.54975296,-56.75882739,0.1263170142,-0.7682325571,-80.66266247
6m,53061375,53.061375,8.03243207,2.17398317,14.53191721,-56.70637566,0.1255815714,-0.7683810127,-80.71783952
6m,53065030,53.065030,8.03408396,2.17353149,14.51505863,-56.66045628,0.1249347884,-0.7685274604,-80.76654917
6m,53068685,53.068685,8.03573516,2.17308020,14.49816278,-56.61434139,0.1242845803,-0.7686738597,-80.81550194
6m,53072340,53.072340,8.03324876,2.17375984,14.48780753,-56.56399517,0.1235882017,-0.7687244245,-80.86668441
6m,53075995,53.075995,8.03386086,2.17359248,14.47106695,-56.51175197,0.1228541529,-0.7688572704,-80.92156790
6m,53079650,53.079650,8.03287675,2.17386156,14.45817603,-56.46230792,0.1221639053,-0.7689428236,-80.97271997
6m,53083305,53.083305,8.03436787,2.17345388,14.44181630,-56.41677443,0.1215195048,-0.7690819220,-81.02115753
6m,53086960,53.086960,8.03227228,2.17402687,14.43145626,-56.36875535,0.1208516498,-0.7691351576,-81.07031474
6m,53090615,53.090615,8.03149718,2.17423887,14.41719426,-56.31590673,0.1201106520,-0.7692319888,-81.12529193
6m,53094270,53.094270,8.02993450,2.17466643,14.40397726,-56.26157122,0.1193505687,-0.7693115054,-81.18146438
6m,53097925,53.097925,8.02972997,2.17472240,14.39087876,-56.21615527,0.1187108004,-0.7694054102,-81.22905218
6m,53101580,53.101580,8.02955546,2.17477016,14.37582250,-56.16428672,0.1179791589,-0.7695136076,-81.28348348
6m,53105235,53.105235,8.03209154,2.17407630,14.35655783,-56.11522579,0.1172769508,-0.7696838502,-81.33646166
6m,53108890,53.108890,8.03214772,2.17406094,14.34283076,-56.06918833,0.1166253972,-0.7697842384,-81.38497598
6m,53112545,53.112545,8.03362795,2.17365616,14.32556144,-56.02008396,0.1159247266,-0.7699267590,-81.43752601
6m,53116200,53.116200,8.03286704,2.17386421,14.31138796,-55.96729586,0.1151789081,-0.7700198271,-81.49281840
6m,53119855,53.119855,8.03328472,2.17375000,14.29697755,-55.92107720,0.1145213782,-0.7701282432,-81.54185292
6m,53123510,53.123510,8.03115070,2.17433366,14.28722112,-55.87455048,0.1138678793,-0.7701722527,-81.58989949
6m,53127165,53.127165,8.03278701,2.17388610,14.26962276,-55.82509296,0.1131585845,-0.7703173340,-81.64309650
6m,53130820,53.130820,8.03282527,2.17387564,14.25452959,-55.77402988,0.1124313461,-0.7704247613,-81.69719441
6m,53134475,53.134475,8.03056696,2.17449337,14.24383455,-55.72343892,0.1117183237,-0.7704725299,-81.74962684
6m,53138130,53.138130,8.03172339,2.17417700,14.22747186,-55.67499844,0.1110228984,-0.7706016961,-81.80163906
6m,53141785,53.141785,8.03037010,2.17454723,14.21578847,-55.62666765,0.1103374199,-0.7706666201,-81.85225286
6m,53145440,53.145440,8.03015983,2.17460477,14.20131585,-55.57597770,0.1096133223,-0.7707647342,-81.90602884
6m,53149095,53.149095,8.03144155,2.17425409,14.18464468,-55.52711100,0.1089090614,-0.7708963056,-81.95870439
6m,53152750,53.152750,8.03271950,2.17390456,14.16787742,-55.47782495,0.1081980196,-0.7710280617,-82.01187169
6m,53156405,53.156405,8.02955691,2.17476977,14.16032007,-55.43208774,0.1075535856,-0.7710399183,-82.05896127
6m,53160060,53.160060,8.03301939,2.17382255,14.14024977,-55.38512128,0.1068662685,-0.7712211944,-82.11089831
6m,53163715,53.163715,8.03277488,2.17388942,14.12606711,-55.33495974,0.1061460606,-0.7713145992,-82.16434004
6m,53167370,53.167370,8.03493340,2.17329930,14.10948044,-55.29159248,0.1055138894,-0.7714547235,-82.21182958
6m,53171025,53.171025,8.03345658,2.17370301,14.09865773,-55.24513756,0.1048502574,-0.7715086777,-82.26075259
6m,53174680,53.174680,8.03205035,2.17408757,14.08634441,-55.19397272,0.1041177854,-0.7715730858,-82.31480352
6m,53178335,53.178335,8.03074126,2.17444568,14.07483815,-55.14616129,0.1034326094,-0.7716328492,-82.36536392
6m,53181990,53.181990,8.02761215,2.17530215,14.06555720,-55.09454917,0.1026987783,-0.7716534194,-82.41909748
6m,53185645,53.185645,8.03291053,2.17385232,14.04185223,-55.04612191,0.1019779630,-0.7718800878,-82.47387880
6m,53189300,53.189300,8.03106330,2.17435757,14.03157796,-54.99906834,0.1013036809,-0.7719231955,-82.52348975
6m,53192955,53.192955,8.03156085,2.17422146,14.01649661,-54.95010421,0.1005919883,-0.7720285643,-82.57642872
6m,53196610,53.196610,8.03265272,2.17392282,14.00055974,-54.90185641,0.0998876222,-0.7721470050,-82.62895470
6m,53200265,53.200265,8.03487578,2.17331505,13.98255319,-54.85347520,0.0991761480,-0.7722936389,-82.68226009
6m,53203920,53.203920,8.03588865,2.17303825,13.96755639,-54.80785636,0.0985087989,-0.7724040598,-82.73200025
6m,53207575,53.207575,8.03433252,2.17346355,13.95753811,-54.76334618,0.0978669966,-0.7724472115,-82.77925024
6m,53211230,53.211230,8.03231942,2.17401397,13.94733659,-54.71530896,0.0971750134,-0.7724848402,-82.83011802
6m,53214885,53.214885,8.03453874,2.17340718,13.93052197,-54.67081457,0.0965173094,-0.7726221079,-82.87939785
6m,53218540,53.218540,8.03272495,2.17390307,13.91927762,-54.62033699,0.0957875525,-0.7726681281,-82.93310616
6m,53222195,53.222195,8.03082720,2.17442216,13.90844491,-54.57073523,0.0950702055,-0.7727098397,-82.98587537
6m,53225850,53.225850,8.03262325,2.17393088,13.89141042,-54.52266258,0.0943597124,-0.7728412865,-83.03895054
6m,53229505,53.229505,8.03096175,2.17438535,13.88151512,-54.47774198,0.0937085455,-0.7728794773,-83.08685986
6m,53233160,53.233160,8.03190290,2.17412790,13.86629373,-54.43052676,0.0930126212,-0.7729867807,-83.13865227
6m,53236815,53.236815,8.03256416,2.17394704,13.85032903,-54.37890067,0.0922523414,-0.7730942112,-83.19514522
6m,53240470,53.240470,8.03447664,2.17342415,13.83305808,-54.33048155,0.0915332433,-0.7732268803,-83.24884459
6m,53244125,53.244125,8.03337335,2.17372577,13.82175442,-54.28399280,0.0908540823,-0.7732797524,-83.29893376
6m,53247780,53.247780,8.03456548,2.17339987,13.80690424,-54.23942396,0.0901931296,-0.7733865348,-83.34815498
6m,53251435,53.251435,8.03390999,2.17357905,13.79486978,-54.19310565,0.0895133361,-0.7734493407,-83.39837763
6m,53255090,53.255090,8.03375047,2.17362266,13.78150884,-54.14520056,0.0888074209,-0.7735267766,-83.45063481
6m,53258745,53.258745,8.03462343,2.17338403,13.76745657,-54.10128833,0.0881554820,-0.7736228765,-83.49910152
6m,53262400,53.262400,8.03628513,2.17292992,13.75083370,-54.05321690,0.0874381280,-0.7737452506,-83.55256565
6m,53266055,53.266055,8.03386904,2.17359025,13.74266491,-54.00932530,0.0867989083,-0.7737576536,-83.59940902
6m,53269710,53.269710,8.03294559,2.17384273,13.72899119,-53.95536158,0.0860036746,-0.7738236758,-83.65810658
6m,53273365,53.273365,8.03433349,2.17346328,13.71431403,-53.91228421,0.0853592712,-0.7739292445,-83.70609364
6m,53277020,53.277020,8.03318026,2.17377856,13.70186812,-53.86112327,0.0846049919,-0.7739836339,-83.76170437
6m,53280675,53.280675,8.03242618,2.17398478,13.69108947,-53.81831672,0.0839723850,-0.7740339303,-83.80838478
6m,53284330,53.284330,8.03592001,2.17302969,13.67055275,-53.76754078,0.0832025623,-0.7742031676,-83.86604287
6m,53287985,53.287985,8.03424554,2.17348732,13.65962073,-53.71834733,0.0824775023,-0.7742394889,-83.91937750
6m,53291640,53.291640,8.03699310,2.17273651,13.64358616,-53.67870032,0.0818750387,-0.7743711131,-83.96448324
6m,53295295,53.295295,8.03816352,2.17241683,13.62923739,-53.63510166,0.0812198456,-0.7744689235,-84.01318001
6m,53298950,53.298950,8.03495317,2.17329390,13.62129415,-53.58680924,0.0805128563,-0.7744636890,-84.06487968
6m,53302605,53.302605,8.03507958,2.17325935,13.60877781,-53.54311651,0.0798595105,-0.7745344453,-84.11323639
6m,53306260,53.306260,8.03382080,2.17360344,13.59762274,-53.49556288,0.0791538270,-0.7745758760,-84.16520457
6m,53309915,53.309915,8.03608524,2.17298454,13.57987881,-53.44654523,0.0784101270,-0.7747072778,-84.22062698
6m,53313570,53.313570,8.03343788,2.17370813,13.57205757,-53.40211243,0.0777559003,-0.7747080241,-84.26853115
6m,53317225,53.317225,8.03419128,2.17350215,13.55691176,-53.35280093,0.0770129304,-0.7748007891,-84.32361206
6m,53320880,53.320880,8.03514284,2.17324206,13.54266135,-53.30786701,0.0763340518,-0.7748913955,-84.37398131
6m,53324535,53.324535,8.03479528,2.17333706,13.52962400,-53.25909482,0.0756025546,-0.7749545503,-84.42800487
6m,53328190,53.328190,8.03592731,2.17302769,13.51404148,-53.21041788,0.0748651547,-0.7750539970,-84.48271867
6m,53331845,53.331845,8.03698746,2.17273805,13.50040682,-53.16820723,0.0742247228,-0.7751416762,-84.53024360
6m,53335500,53.335500,8.03243501,2.17398236,13.49686501,-53.12705492,0.0736248329,-0.7750868390,-84.57380413
6m,53339155,53.339155,8.03765516,2.17255567,13.47350224,-53.07586893,0.0728290942,-0.7752904712,-84.63350779
6m,53342810,53.342810,8.03926536,2.17211598,13.45987019,-53.03695513,0.0722341211,-0.7753857224,-84.67774632
6m,53346465,53.346465,8.03790495,2.17248745,13.44925163,-52.99027617,0.0715346353,-0.7754171221,-84.72920540
6m,53350120,53.350120,8.03868428,2.17227463,13.43433268,-52.94145038,0.0707922763,-0.7755044078,-84.78418423
6m,53353775,53.353775,8.03792994,2.17248062,13.42280965,-52.89522701,0.0700955686,-0.7755491482,-84.83553345
6m,53357430,53.357430,8.03692761,2.17275440,13.41116921,-52.84699634,0.0693688942,-0.7755898409,-84.88905469
6m,53361085,53.361085,8.03771465,2.17253942,13.39795556,-52.80422595,0.0687161968,-0.7756672898,-84.93739575
6m,53364740,53.364740,8.03984083,2.17195887,13.38114442,-52.75676502,0.0679854380,-0.7757839290,-84.99170767
6m,53368395,53.368395,8.03956538,2.17203407,13.36858127,-52.70960660,0.0672696032,-0.7758395611,-85.04453075
6m,53372050,53.372050,8.03826493,2.17238914,13.35867970,-52.66564631,0.0666065288,-0.7758648168,-85.09329594
6m,53375705,53.375705,8.03824273,2.17239520,13.34761948,-52.62544105,0.0659941565,-0.7759165990,-85.13851325
6m,53379360,53.379360,8.04143961,2.17152254,13.32829968,-52.57532572,0.0652150594,-0.7760609865,-85.19652520
6m,53383015,53.383015,8.04230868,2.17128543,13.31515859,-52.53303025,0.0645653942,-0.7761366399,-85.24461775
6m,53386670,53.386670,8.04143974,2.17152250,13.30455336,-52.48906565,0.0638977858,-0.7761705592,-85.29377129
6m,53390325,53.390325,8.03958871,2.17202770,13.29558806,-52.44490972,0.0632312952,-0.7761796936,-85.34269744
6m,53393980,53.393980,8.03834099,2.17236837,13.28427151,-52.39593514,0.0624876040,-0.7762092780,-85.39741196
6m,53397635,53.397635,8.04065559,2.17173649,13.26761661,-52.34969394,0.0617681598,-0.7763236915,-85.45084730
6m,53401290,53.401290,8.04281916,2.17114618,13.25128847,-52.30362144,0.0610512750,-0.7764334901,-85.50406052
6m,53404945,53.404945,8.04215648,2.17132695,13.24038821,-52.25968289,0.0603799267,-0.7764697286,-85.55350728
6m,53408600,53.408600,8.04235352,2.17127320,13.22758319,-52.21410795,0.0596787059,-0.7765287725,-85.60527588
6m,53412255,53.412255,8.04005385,2.17190073,13.21858086,-52.16683594,0.0589627202,-0.7765270387,-85.65778835
6m,53415910,53.415910,8.04527687,2.17047600,13.19854950,-52.12604181,0.0583095509,-0.7767044673,-85.70668629
6m,53419565,53.419565,8.04554441,2.17040307,13.18546458,-52.07972940,0.0575946164,-0.7767643665,-85.75945929
6m,53423220,53.423220,8.04508787,2.17052752,13.17346820,-52.03285442,0.0568738215,-0.7768062851,-85.81256472
6m,53426875,53.426875,8.04438929,2.17071798,13.16314503,-51.99058038,0.0562245835,-0.7768364231,-85.86035891
6m,53430530,53.430530,8.04460478,2.17065922,13.15078118,-51.94646729,0.0555419006,-0.7768908135,-85.91073649
6m,53434185,53.434185,8.04465465,2.17064563,13.13875620,-51.90252694,0.0548620737,-0.7769403394,-85.96087856
6m,53437840,53.437840,8.04503807,2.17054110,13.12625657,-51.85887491,0.0541844533,-0.7769972874,-86.01089651
6m,53441495,53.441495,8.04487583,2.17058533,13.11436665,-51.81402831,0.0534903860,-0.7770414017,-86.06205536
6m,53445150,53.445150,8.04387451,2.17085835,13.10391947,-51.76924061,0.0528007486,-0.7770640296,-86.11278242
6m,53448805,53.448805,8.04581109,2.17033038,13.08791500,-51.72218849,0.0520607446,-0.7771614080,-86.16757717
6m,53452460,53.452460,8.04802100,2.16972821,13.07175223,-51.67617523,0.0513347640,-0.7772638185,-86.22136037
6m,53456115,53.456115,8.04958464,2.16930234,13.05751316,-51.63318675,0.0506583366,-0.7773464721,-86.27140467
6m,53459770,53.459770,8.04751684,2.16986556,13.04877680,-51.58793744,0.0499642412,-0.7773407793,-86.32232399
6m,53463425,53.463425,8.05055729,2.16903752,13.03190418,-51.54427157,0.0492685810,-0.7774595912,-86.37394400
6m,53467080,53.467080,8.04880678,2.16951418,13.02329729,-51.50141683,0.0486090086,-0.7774582754,-86.42235406
6m,53470735,53.470735,8.05052638,2.16904594,13.00934628,-51.46026900,0.0479580257,-0.7775407776,-86.47051834
6m,53474390,53.474390,8.04614249,2.17024006,13.00365394,-51.41181158,0.0472231411,-0.7774784680,-86.52419088
6m,53478045,53.478045,8.04833132,2.16964368,12.98785976,-51.36664368,0.0465056713,-0.7775752917,-86.57729818
6m,53481700,53.481700,8.04888694,2.16949235,12.97514381,-51.32271445,0.0458152161,-0.7776298749,-86.62823197
6m,53485355,53.485355,8.04828983,2.16965498,12.96403013,-51.27754430,0.0451105761,-0.7776564594,-86.68008625
6m,53489010,53.489010,8.05110815,2.16888757,12.94693419,-51.23123980,0.0443699664,-0.7777680049,-86.73493981
6m,53492665,53.492665,8.04920431,2.16940591,12.93900796,-51.18976909,0.0437288083,-0.7777577544,-86.78197862
6m,53496320,53.496320,8.05053902,2.16904249,12.92572529,-51.14838265,0.0430717558,-0.7778270616,-86.83051390
6m,53499975,53.499975,8.05265186,2.16846745,12.90977920,-51.10180069,0.0423283572,-0.7779195229,-86.88547859
6m,53503630,53.503630,8.05372052,2.16817672,12.89736670,-51.06190493,0.0416949041,-0.7779798468,-86.93223581
6m,53507285,53.507285,8.05480003,2.16788311,12.88405329,-51.01864660,0.0410078638,-0.7780427363,-86.98293507
